N,eta2B,epsilon2B,omega2B,eta2R,epsilon2R,omega2R,eta2S,epsilon2S,omega2S
10,0.037645244,-0.020492163,-0.024769747,0.118056921,0.122938437,0.122275699,0.111894022,0.121218524,0.119740579
20,0.013343715,-0.015154327,-0.017416815,0.080928891,0.084344648,0.084270915,0.079821242,0.08297208,0.08245145
30,-0.000337711,-0.019362672,-0.020873637,0.063343841,0.067804565,0.067991756,0.06334294,0.06498112,0.064708347
40,0.001232476,-0.012884094,-0.014044215,0.05455239,0.057060897,0.057167268,0.054538466,0.055587283,0.05541531
50,-0.005516836,-0.01685578,-0.017775917,0.050788099,0.053960545,0.054134184,0.050487578,0.051260347,0.051132443
60,-0.006055016,-0.015478945,-0.016250435,0.046206747,0.048904869,0.049063637,0.045808299,0.046390608,0.046294318
70,-0.008821076,-0.016909285,-0.01756871,0.044247485,0.046979195,0.047148249,0.043359296,0.043830593,0.043752689
80,-0.007379245,-0.014429942,-0.015012259,0.038366379,0.040654542,0.040809335,0.037650044,0.038007481,0.037947778
90,-0.007540993,-0.013800839,-0.014319308,0.03831179,0.040314634,0.040446463,0.037562304,0.03787884,0.037826892
100,-0.010548576,-0.0161989,-0.016662878,0.037000976,0.039234346,0.039387622,0.035465473,0.035734151,0.0356894
