eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.060099156,0.064130648,0.060798791,0.061258264,0.060626796,0.06089101,0.166666667,30
0.050638926,0.053238076,0.053364079,0.052743803,0.053362041,0.052580349,0.166666667,40
0.046280344,0.048303634,0.049254212,0.048329196,0.049297234,0.048225194,0.166666667,50
0.039940238,0.040950644,0.042406346,0.040771657,0.042463861,0.040698649,0.166666667,60
0.0370379,0.038515814,0.03897927,0.037903523,0.039026243,0.037819497,0.166666667,70
0.035952574,0.03744439,0.037907557,0.037127029,0.037959563,0.037061545,0.166666667,80
0.034159457,0.034726656,0.036074789,0.034531734,0.036132004,0.03448221,0.166666667,90
0.033649829,0.033925039,0.035545383,0.033898593,0.03560429,0.033860805,0.166666667,100
0.118511824,0.124739783,0.1162114,0.116914044,0.114913315,0.115290548,0.201995012,10
0.078597762,0.082986287,0.080363918,0.080513787,0.08008022,0.079967222,0.201995012,20
0.061896022,0.064717774,0.064428166,0.06357897,0.064387341,0.063316037,0.201995012,30
0.05338243,0.056493952,0.056208905,0.055640101,0.056250512,0.055452371,0.201995012,40
0.046169886,0.047333526,0.049260535,0.047278481,0.049365322,0.04719713,0.201995012,50
0.044677553,0.045581539,0.047175891,0.045250618,0.047254993,0.045159136,0.201995012,60
0.041591654,0.04287156,0.043628526,0.042359096,0.043696303,0.042268232,0.201995012,70
0.038461708,0.039124723,0.040475342,0.038689268,0.040553107,0.038615903,0.201995012,80
0.037114186,0.036579948,0.039426255,0.036597148,0.039527036,0.036560782,0.201995012,90
0.033136992,0.033628003,0.035064233,0.033376578,0.035155478,0.033332282,0.201995012,100
0.117611441,0.124072794,0.120205167,0.120000554,0.119298967,0.118658372,0.238095238,10
0.079026742,0.081741453,0.083276954,0.080745436,0.083213337,0.080340499,0.238095238,20
0.06396725,0.066180482,0.067695823,0.066029931,0.067772033,0.065837073,0.238095238,30
0.055348726,0.058333879,0.057693986,0.057070201,0.057749377,0.056859199,0.238095238,40
0.048476382,0.051439256,0.051171316,0.050863552,0.051287391,0.050736327,0.238095238,50
0.044244497,0.045570634,0.047029931,0.045315439,0.04717211,0.045238294,0.238095238,60
0.04276964,0.042300439,0.045846289,0.042657578,0.046014692,0.042637161,0.238095238,70
0.038999223,0.038979169,0.041398216,0.038757256,0.041532987,0.038703736,0.238095238,80
0.036632331,0.036797329,0.038886606,0.036632602,0.039019345,0.036589582,0.238095238,90
0.035535357,0.034960974,0.037672423,0.034883953,0.037799825,0.034851647,0.238095238,100
0.117217999,0.12230758,0.122450706,0.121045414,0.12183721,0.119968031,0.274376417,10
0.079275248,0.082404313,0.083834718,0.081505385,0.083889502,0.081143491,0.274376417,20
0.064324609,0.066022256,0.068063701,0.065220826,0.068208946,0.065007208,0.274376417,30
0.055798514,0.058227302,0.058429459,0.057340198,0.058551279,0.057164345,0.274376417,40
0.050303121,0.051334815,0.05328107,0.050936828,0.053457079,0.050833922,0.274376417,50
0.046477267,0.046594977,0.049177415,0.046224461,0.049347153,0.046141732,0.274376417,60
0.043484353,0.04435647,0.045748175,0.043954322,0.045892797,0.043872972,0.274376417,70
0.040653921,0.040379691,0.043038518,0.040224792,0.043202352,0.040177121,0.274376417,80
0.039438914,0.038731379,0.041595895,0.038506807,0.041744796,0.038456867,0.274376417,90
0.036799494,0.035823429,0.038935477,0.035682437,0.039089532,0.035646416,0.274376417,100
0.114394899,0.11933545,0.119299389,0.117602744,0.11897062,0.116739955,0.310344828,10
0.07667911,0.07982052,0.08080713,0.078520979,0.080976347,0.078206713,0.310344828,20
