eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.099251926,0.101634785,0.070450069,0.072726706,0.068868859,0.071116946,0.012345679,10
0.052676386,0.05289141,0.039631545,0.039950362,0.03917615,0.039491774,0.012345679,20
0.032926841,0.033739682,0.025435413,0.025875807,0.0252455,0.025679666,0.012345679,30
0.02750892,0.028774189,0.021514565,0.022333435,0.021390309,0.022201262,0.012345679,40
0.022020119,0.023324544,0.018183115,0.019110827,0.01810239,0.019022941,0.012345679,50
0.021527418,0.022864945,0.017761572,0.018570791,0.017690837,0.018493804,0.012345679,60
0.018008225,0.019233638,0.015306248,0.016008762,0.015256184,0.015953296,0.012345679,70
0.016285738,0.01722503,0.013976749,0.014438115,0.013936633,0.014394075,0.012345679,80
0.013747275,0.014566687,0.012630521,0.012904364,0.012602494,0.012872965,0.012345679,90
0.012776074,0.013510927,0.011900008,0.012106386,0.011876706,0.012080106,0.012345679,100
0.09758259,0.099986645,0.075468917,0.076617046,0.073865223,0.074983897,0.027355623,10
0.051343815,0.052828316,0.042930589,0.043412457,0.042486043,0.042951073,0.027355623,20
0.038325444,0.040658177,0.033434135,0.034375056,0.033204015,0.03412235,0.027355623,30
0.0311863,0.032526238,0.027862308,0.028183361,0.027719776,0.028028237,0.027355623,40
0.025942774,0.027608435,0.024027157,0.024606859,0.02393487,0.024500693,0.027355623,50
0.02408131,0.0255438,0.021928667,0.022447883,0.021851852,0.022359211,0.027355623,60
0.020189129,0.022318593,0.019258001,0.020233301,0.019209035,0.020168977,0.027355623,70
0.020311932,0.021998398,0.019268809,0.020027326,0.019221232,0.019967955,0.027355623,80
0.017318365,0.018709258,0.017187455,0.017774415,0.017157593,0.017735229,0.027355623,90
0.015859661,0.017178721,0.016055599,0.016409054,0.016033797,0.016377349,0.027355623,100
0.104335573,0.107750297,0.085789713,0.087289002,0.084072602,0.085513073,0.047619048,10
0.060346118,0.062301695,0.054893602,0.055260368,0.054367282,0.054705234,0.047619048,20
0.045026175,0.047498063,0.042549361,0.04334867,0.042291003,0.043056745,0.047619048,30
0.036478071,0.039010537,0.034347658,0.035060087,0.034187392,0.034864613,0.047619048,40
0.030750313,0.032936513,0.030525506,0.031018091,0.030431814,0.030894626,0.047619048,50
0.026463681,0.027605411,0.0269946,0.02665991,0.026938655,0.026583087,0.047619048,60
0.024454929,0.026355867,0.024730352,0.025168056,0.02468513,0.025098081,0.047619048,70
0.02266612,0.023646009,0.023658973,0.023283434,0.023631255,0.023236606,0.047619048,80
0.021589447,0.02280906,0.02228843,0.022216168,0.022263214,0.022171277,0.047619048,90
0.020253521,0.02162076,0.020921012,0.021017828,0.020901338,0.020978207,0.047619048,100
0.110317832,0.115577137,0.095481453,0.09869692,0.09366977,0.09678437,0.072463768,10
0.066096182,0.070696351,0.061977082,0.063704103,0.061433664,0.063071936,0.072463768,20
0.04836425,0.051488591,0.04719699,0.047867188,0.046951341,0.047556157,0.072463768,30
0.039287219,0.041397378,0.040574433,0.040164828,0.040463255,0.039999575,0.072463768,40
0.036657676,0.039889262,0.036695932,0.03788082,0.036593402,0.037723146,0.072463768,50
0.030516492,0.032304491,0.03133525,0.031236488,0.031286591,0.031144262,0.072463768,60
0.030077125,0.032156897,0.030566431,0.030839258,0.030517066,0.030745863,0.072463768,70
0.027897976,0.029700257,0.029395023,0.029551001,0.029376247,0.029494101,0.072463768,80
0.026164792,0.027565438,0.027435686,0.027359166,0.027421727,0.027311548,0.072463768,90
0.023983941,0.025433891,0.025122485,0.024997156,0.025114499,0.024952931,0.072463768,100
0.105464849,0.111117725,0.101238774,0.10234558,0.099698782,0.100660871,0.101123596,10
0.072680521,0.076454231,0.071082831,0.071577943,0.070537921,0.070929505,0.101123596,20
0.055226805,0.057578328,0.054596495,0.054386679,0.054335863,0.054042722,0.101123596,30
0.045744255,0.048021522,0.047484936,0.047189582,0.047380302,0.047006574,0.101123596,40
0.040380309,0.042055914,0.041997052,0.041299691,0.041937433,0.041169033,0.101123596,50
0.034784519,0.037148802,0.036414393,0.036450222,0.036390865,0.036351596,0.101123596,60
0.032043925,0.034403899,0.03309419,0.033330678,0.03307104,0.033237136,0.101123596,70
0.030345658,0.03200648,0.032110974,0.03179028,0.032116183,0.03173352,0.101123596,80
0.028323674,0.029462721,0.030323421,0.029418151,0.030343896,0.029376768,0.101123596,90
