N,eta2B,epsilon2B,omega2B,eta2R,epsilon2R,omega2R,eta2S,epsilon2S,omega2S
10,0.05431081,-0.002437799,-0.006941096,0.124387055,0.121253698,0.120080073,0.111903867,0.121229189,0.119879294
20,0.027237477,-0.000712127,-0.003067313,0.082458558,0.080905536,0.080499788,0.077830158,0.080902401,0.080441329
30,0.017596647,-0.000964494,-0.002550694,0.066105996,0.065376031,0.065161875,0.06372096,0.065368916,0.065111934
40,0.015178658,0.001330284,0.00012952,0.059740213,0.058905939,0.058720398,0.057779766,0.058890916,0.058720255
50,0.009826616,-0.001277478,-0.002236101,0.050868949,0.050690836,0.050605163,0.049910796,0.050674737,0.050555735
60,0.008616331,-0.000621098,-0.001423189,0.045618008,0.045370595,0.045299781,0.044796891,0.045366343,0.045277419
70,0.006244569,-0.001679882,-0.00236698,0.040539363,0.040525747,0.040492458,0.040055528,0.040490914,0.040423219
80,0.007068431,0.000154896,-0.000449333,0.039242616,0.038967551,0.038912633,0.03860078,0.038967243,0.038910038
90,0.006919864,0.000781879,0.00024334,0.036074861,0.035711874,0.035657608,0.035404958,0.035703314,0.035656778
100,0.003785923,-0.001755806,-0.00223752,0.03529235,0.035398095,0.0353834,0.035088699,0.035354522,0.035312583
