N,eta2,epsilon2,omega2
10,0.123635082,0.119404697,0.11818012
20,0.081931392,0.079672619,0.079213852
30,0.067699118,0.066947776,0.066721148
40,0.057156139,0.057577562,0.057507605
50,0.052456203,0.051865253,0.051735071
60,0.048826095,0.048472583,0.048376352
70,0.042404573,0.042656846,0.042636647
80,0.040504661,0.040028219,0.039951855
90,0.037731408,0.037551945,0.037508039
100,0.035989074,0.03592169,0.035890991
10,0.126705303,0.122192068,0.120814052
20,0.083385367,0.081445009,0.080973453
30,0.067226891,0.065644468,0.065352751
40,0.058635362,0.058565917,0.058447451
50,0.050251064,0.04979135,0.049686795
60,0.044590885,0.044247127,0.044173598
70,0.041703246,0.041205066,0.041125451
80,0.040170213,0.039885459,0.039826754
90,0.036277665,0.036387509,0.036372622
100,0.03581673,0.035419883,0.035361121
10,0.11884787,0.116652625,0.115599128
20,0.082841648,0.08129028,0.080867958
30,0.062962944,0.061982992,0.06177946
40,0.055315802,0.055121108,0.055015723
50,0.050799033,0.050447995,0.050347029
60,0.046031957,0.04645718,0.046439514
70,0.043381772,0.043299538,0.043247346
80,0.041422044,0.041263197,0.04121061
90,0.036679378,0.036950869,0.036947859
100,0.034411304,0.034239518,0.034204832
10,0.12475106,0.119794991,0.118482564
20,0.082207558,0.081093838,0.080722214
30,0.069086622,0.068115059,0.067861007
40,0.053650586,0.053765652,0.053699786
50,0.051698233,0.051625932,0.051544388
60,0.045615486,0.045660649,0.045613856
70,0.042221742,0.042076747,0.042025169
80,0.040782917,0.040584317,0.040530436
90,0.038198784,0.037889391,0.037832721
100,0.036560731,0.036528795,0.036499151
10,0.123194722,0.12046716,0.119271883
20,0.082435615,0.081756274,0.081389504
30,0.066455979,0.065363304,0.065124276
40,0.056487005,0.056190571,0.056070775
50,0.051315205,0.051127209,0.051037326
60,0.045844784,0.045634724,0.045567162
70,0.043463507,0.042758546,0.042655133
80,0.04066083,0.040460737,0.040406795
90,0.037290271,0.037334258,0.037310581
100,0.035588889,0.035573597,0.035548114
10,0.122962136,0.120739719,0.119578747
20,0.083385403,0.081803981,0.081361118
30,0.067439118,0.066515162,0.066272101
40,0.05830396,0.057596004,0.057432974
50,0.050403524,0.050391628,0.050323232
60,0.045889109,0.045517167,0.045434514
70,0.043648918,0.043689225,0.043646227
80,0.040963856,0.040620489,0.040553394
90,0.03795301,0.037845345,0.03780642
100,0.036404473,0.036286265,0.036249739
10,0.122611691,0.119163495,0.117973647
20,0.086430006,0.08556519,0.085144267
30,0.064550877,0.064969063,0.064858576
40,0.05836067,0.058032698,0.057901047
50,0.050450344,0.050427204,0.050357115
60,0.046978849,0.047174816,0.047134014
70,0.043562426,0.043150897,0.043071723
80,0.040904518,0.040937983,0.040902717
90,0.036384079,0.036453328,0.036434539
100,0.035673746,0.035731197,0.03571164
10,0.12309728,0.120875422,0.119719828
20,0.081103,0.079764613,0.079380613
30,0.065128081,0.064090105,0.063859556
40,0.056194852,0.055355895,0.055195858
50,0.051486872,0.051083804,0.050976457
60,0.045924107,0.045627662,0.045551837
70,0.042482712,0.042222927,0.042160577
80,0.040642054,0.040536128,0.040490507
90,0.037783236,0.037880969,0.037859422
100,0.034005545,0.033877603,0.033847341
10,0.125080416,0.120268879,0.118920232
20,0.084883443,0.083920005,0.083516205
30,0.0656705,0.064204823,0.063944947
40,0.055601155,0.055083163,0.054951918
50,0.048771322,0.048424378,0.048336968
60,0.047257061,0.047261527,0.047202077
70,0.041150467,0.040942839,0.04089018
80,0.039395687,0.039145711,0.039092266
90,0.037998125,0.03782034,0.037775469
100,0.03637896,0.036179459,0.036135742
10,0.12317643,0.117736518,0.11641121
20,0.082406222,0.08161202,0.081254968
30,0.06748637,0.066102541,0.065827645
40,0.05735276,0.056277807,0.056090155
50,0.050199658,0.049834399,0.049737607
60,0.044419904,0.044049396,0.043974504
70,0.042244739,0.042103351,0.042051709
80,0.039329477,0.039267241,0.03922958
90,0.037509942,0.037307599,0.037262241
100,0.035603992,0.035242536,0.035187782
10,0.125922245,0.120443403,0.119050485
20,0.079503372,0.077330129,0.076916434
30,0.065156945,0.063763387,0.06350881
40,0.05799018,0.057352246,0.057194549
50,0.051087423,0.050987163,0.050907752
60,0.044554211,0.044569582,0.04452594
70,0.042433164,0.042279945,0.042227223
80,0.038510343,0.038401922,0.038363688
90,0.037166758,0.03698054,0.036937319
100,0.036650823,0.036474185,0.036431744
10,0.120924753,0.119335874,0.118287644
20,0.080785116,0.078696534,0.078257885
30,0.065655505,0.065036865,0.064835197
40,0.056351776,0.055788105,0.055645226
50,0.049669925,0.048959489,0.048837578
60,0.046480546,0.046374044,0.046310623
70,0.043471849,0.04355945,0.043521391
80,0.040315875,0.04014459,0.040094629
90,0.037813761,0.038045728,0.038035602
100,0.037138617,0.036966717,0.036923414
10,0.124494395,0.119725289,0.11839599
20,0.081591099,0.080063855,0.07966717
30,0.065233572,0.06550476,0.065379152
40,0.056513936,0.057050285,0.056994094
50,0.051162006,0.051251491,0.051185823
60,0.045234449,0.045413976,0.045380654
70,0.043085603,0.042748049,0.042676963
80,0.040144935,0.039807799,0.03974457
90,0.037876203,0.037813872,0.03777906
100,0.035738922,0.035440119,0.035390124
10,0.124691087,0.119616258,0.118265057
20,0.083160191,0.081853864,0.081448436
30,0.064818192,0.064693251,0.064540843
40,0.057862775,0.057032165,0.05686138
50,0.051357324,0.050748437,0.050624875
60,0.045284449,0.044941786,0.044865279
70,0.043770081,0.043329902,0.043246784
80,0.040469723,0.03989984,0.039816136
90,0.037775115,0.037619913,0.037577536
100,0.036260745,0.036046954,0.036002674
10,0.118424436,0.117037852,0.116023652
20,0.084939883,0.082819288,0.08231976
30,0.06693174,0.065844364,0.065599183
40,0.054733128,0.054879193,0.054805629
50,0.050072569,0.049314304,0.049187053
60,0.047147235,0.047172879,0.047116659
70,0.04318664,0.043474083,0.043453218
80,0.039299776,0.039086643,0.039036286
90,0.037741226,0.037591304,0.037549793
100,0.035643365,0.03522782,0.035168337
10,0.120739659,0.117648461,0.116508247
20,0.080243412,0.078679817,0.078294417
30,0.06530148,0.065054942,0.064886698
40,0.054983912,0.054597983,0.054481379
50,0.051835358,0.051215782,0.051089086
60,0.046297226,0.04632167,0.046270216
70,0.043160065,0.042996398,0.042939626
80,0.040495007,0.040403945,0.040359679
90,0.037298429,0.03727593,0.037246272
100,0.036606053,0.036328687,0.036278245
10,0.122468507,0.120130667,0.119028007
20,0.082438705,0.080555844,0.080114949
30,0.067704188,0.067632197,0.067454333
40,0.057657737,0.056639635,0.056455544
50,0.050294176,0.050278093,0.050208525
60,0.046386874,0.046248573,0.046182999
70,0.043145865,0.042806195,0.042734496
80,0.039550138,0.039369041,0.039321512
90,0.036928189,0.037135205,0.037126364
100,0.038333693,0.038341858,0.038310115
10,0.119787233,0.115997854,0.1148756
20,0.084997063,0.0850623,0.084741892
30,0.066285105,0.065629007,0.065418944
40,0.0558699,0.054983361,0.054821185
50,0.051672676,0.05163641,0.05155831
60,0.046688403,0.046459914,0.046384725
