N,eta2,epsilon2,omega2
70,0.043946882,0.043926586,0.043877869
80,0.039570386,0.039337258,0.039284626
90,0.0369527,0.036731967,0.036686654
100,0.03474568,0.034775905,0.034756906
10,0.121476902,0.119240752,0.118096689
20,0.083259151,0.082678299,0.082320278
30,0.067255398,0.06653332,0.066320255
40,0.059492742,0.05882813,0.058659859
50,0.049144638,0.048712166,0.048617019
60,0.048232003,0.047950054,0.047864405
70,0.042802791,0.042962189,0.042933018
80,0.039332387,0.039205771,0.039163
90,0.037835748,0.037817966,0.037787276
100,0.035838425,0.035790414,0.035761575
10,0.120946925,0.117746849,0.11662854
20,0.078292032,0.07842776,0.078192772
30,0.06578974,0.0648152,0.064592463
40,0.057785325,0.057000963,0.056832251
50,0.050500834,0.050386751,0.050308998
60,0.047379678,0.047101015,0.04701911
70,0.043189935,0.043000219,0.04294007
80,0.038846464,0.038750141,0.038711597
90,0.03785843,0.037911926,0.037886754
100,0.03469925,0.034784022,0.034769277
10,0.123634431,0.121381137,0.120241885
20,0.08281995,0.082417015,0.082071631
30,0.066473143,0.065902248,0.065697954
40,0.059249025,0.058652984,0.058489752
50,0.050481375,0.050410326,0.050335899
60,0.044676218,0.044984838,0.044963532
70,0.044035265,0.043462814,0.043368091
80,0.040490658,0.040118831,0.040051583
90,0.037945155,0.037839129,0.037800656
100,0.036331698,0.036054219,0.036004508
10,0.126926199,0.122246583,0.120874076
20,0.079660883,0.079115376,0.078803713
30,0.065363907,0.066128335,0.066033778
40,0.056464429,0.056141168,0.056020142
50,0.049900186,0.049390076,0.049282124
60,0.047198577,0.046766645,0.04667293
70,0.042263245,0.042211258,0.042166649
80,0.039985524,0.039697969,0.039639592
90,0.037933812,0.037947651,0.037919031
100,0.035124791,0.034940759,0.034902402
10,0.120886743,0.116772408,0.115595509
20,0.084801849,0.083644934,0.083225023
30,0.065376341,0.063575168,0.063285902
40,0.058444871,0.057968706,0.057821964
50,0.049979657,0.04972571,0.049639392
60,0.044184989,0.04374526,0.043666016
70,0.041762296,0.041703272,0.041659508
80,0.038772845,0.038370102,0.038306054
90,0.038431365,0.038252488,0.038205842
100,0.03557948,0.035258913,0.035207569
10,0.116641742,0.115534209,0.114579648
20,0.082765055,0.079720196,0.079186375
30,0.067598558,0.067314764,0.067120432
40,0.058380448,0.05841905,0.058313508
50,0.051764974,0.051322409,0.051210919
60,0.045587329,0.045321574,0.045248574
70,0.044861555,0.044690223,0.044624514
80,0.04141647,0.041255527,0.041202111
90,0.03843977,0.038334165,0.038294308
100,0.036111949,0.035930058,0.03588863
10,0.126066798,0.121941877,0.120655752
20,0.085501597,0.083834032,0.083364461
30,0.064545945,0.064022446,0.063842409
40,0.056030084,0.055464009,0.055323289
50,0.049438135,0.049344242,0.049274256
60,0.046508855,0.046346492,0.046279825
70,0.040963395,0.041151213,0.04113196
80,0.040137993,0.039753787,0.039686944
90,0.037716444,0.037367965,0.037309119
100,0.03486808,0.034772409,0.034741882
10,0.116458899,0.113911484,0.112890715
20,0.082278148,0.081413055,0.081048642
30,0.067278114,0.066557751,0.066335229
40,0.057609005,0.056681336,0.056504241
50,0.052103073,0.051692235,0.051581572
60,0.044914256,0.044938069,0.044891821
70,0.041743957,0.041391692,0.041324105
80,0.040062814,0.040116307,0.040085893
90,0.03618356,0.036419058,0.036415241
100,0.035895364,0.036015087,0.036000214
10,0.125809402,0.125146198,0.124024647
20,0.081870322,0.079964617,0.079527979
30,0.065689029,0.06592675,0.065794195
40,0.05759849,0.057648484,0.057548845
50,0.050015441,0.050098119,0.050039028
60,0.045961878,0.045683296,0.045608053
70,0.043904013,0.043590775,0.043518131
80,0.040433102,0.040136834,0.040076643
90,0.03791228,0.037728486,0.037682842
100,0.036108149,0.035776963,0.035722951
10,0.126972976,0.123712595,0.122394443
20,0.083696137,0.08165899,0.081178332
30,0.068347529,0.067217423,0.066951737
40,0.054248473,0.054544356,0.054487554
50,0.05185098,0.05144195,0.051332753
60,0.048474354,0.048329895,0.048252905
70,0.043031946,0.042352592,0.04225321
80,0.041084843,0.04062496,0.040548061
90,0.036624986,0.036544086,0.036511765
100,0.036146755,0.036416204,0.036413171
10,0.124349941,0.12241413,0.121219307
20,0.080790129,0.080756792,0.080465347
30,0.067026868,0.066388572,0.066177722
40,0.055476727,0.054593778,0.054433261
50,0.052043475,0.051690175,0.051583701
60,0.046181502,0.046090533,0.046030535
70,0.043282239,0.042800021,0.042716074
80,0.04056397,0.040695713,0.040670609
90,0.037601024,0.03712013,0.037050677
100,0.035960382,0.035918666,0.035890392
10,0.124604752,0.120503596,0.119205688
20,0.082462505,0.080269276,0.079801369
30,0.065369455,0.065704528,0.065585172
40,0.057769282,0.057870607,0.057770673
50,0.052228371,0.051790327,0.051675335
60,0.045864414,0.045371256,0.04527894
70,0.041831972,0.04132639,0.041246643
80,0.041102362,0.040850991,0.040791576
90,0.037908198,0.037668298,0.037618992
100,0.035675309,0.035612637,0.03558266
10,0.125239638,0.121380307,0.120116259
20,0.088589691,0.085802242,0.085214612
30,0.069931323,0.068456643,0.068157307
40,0.056582573,0.056539736,0.056441383
50,0.048815177,0.048922891,0.048873042
60,0.045580412,0.045215801,0.045135181
70,0.04194684,0.041807159,0.041757209
80,0.040629482,0.040421243,0.04036744
90,0.036709114,0.036785888,0.036766958
100,0.035313249,0.035099055,0.035057924
10,0.123152711,0.118413261,0.117107364
20,0.081859831,0.07970567,0.079255218
30,0.067310873,0.065436863,0.065126497
40,0.057788621,0.057032376,0.056866344
50,0.050338394,0.050132952,0.050048485
60,0.046547737,0.046460737,0.046398757
70,0.042294422,0.041857436,0.041780854
80,0.040156496,0.039681332,0.039606247
90,0.038766267,0.038144914,0.038060309
100,0.035030788,0.034977201,0.034950024
10,0.121380171,0.117788554,0.116595886
20,0.085676055,0.084232974,0.083768278
30,0.066230947,0.064992081,0.064738615
40,0.05602613,0.054809088,0.054620574
50,0.049052474,0.048101232,0.047964276
60,0.047094418,0.046456072,0.046346228
70,0.043171555,0.042703341,0.042620436
80,0.039961181,0.039837083,0.039791984
90,0.036881271,0.03659242,0.036541837
100,0.035949861,0.035916904,0.035888416
10,0.126244255,0.121352627,0.119978146
20,0.082955532,0.081509058,0.081094629
30,0.066272422,0.065464067,0.065242821
40,0.056440577,0.055541588,0.055373125
50,0.051019454,0.051005444,0.050931959
60,0.046168206,0.045950258,0.045880016
70,0.042761377,0.0425495,0.042489803
80,0.039611223,0.039342566,0.039287113
90,0.037890264,0.03726802,0.037185962
100,0.034342622,0.034127162,0.034088421
10,0.117735839,0.114015144,0.112898498
20,0.08229335,0.08063218,0.080214694
30,0.06736187,0.066138499,0.065879205
40,0.056745467,0.056774838,0.056679374
50,0.05039925,0.050122027,0.050030744
60,0.045566817,0.04528873,0.045215498
70,0.042096738,0.041564407,0.041481109
80,0.039580401,0.039344523,0.039291516
90,0.037545512,0.037424662,0.03738614
100,0.035128046,0.034682143,0.034621353
10,0.120374584,0.114083625,0.112778811
20,0.083278392,0.081337814,0.080875779
30,0.064988076,0.064997717,0.064852199
40,0.05685176,0.05668807,0.056574674
50,0.049572192,0.049139722,0.04904145
60,0.044772988,0.043920255,0.043803437
70,0.043933591,0.043500798,0.043418224
80,0.039751215,0.039684243,0.039645122
90,0.036422119,0.03646519,0.036444381
100,0.034655752,0.0341958,0.034135549
10,0.118211735,0.116733962,0.115723767
20,0.08440589,0.083092174,0.082660835
30,0.065550612,0.064436846,0.064202051
40,0.054416882,0.053751518,0.053617092
50,0.050354047,0.050445198,0.050385272
60,0.047940419,0.047496019,0.047398324
70,0.041981822,0.041568226,0.041494909
80,0.041406428,0.041408906,0.041368901
90,0.037462465,0.037325607,0.037285761
100,0.036000774,0.035922666,0.035890546
10,0.12544505,0.123728095,0.122505152
20,0.084093185,0.083126136,0.082726814
30,0.067750375,0.067509867,0.067318981
40,0.055602531,0.056026622,0.055968297
50,0.053629319,0.05290065,0.052755766
60,0.045157327,0.045034074,0.044975377
70,0.04302203,0.04254828,0.042465082
80,0.041281157,0.041020813,0.040960632
90,0.037452528,0.037094278,0.037035807
100,0.035765686,0.035520169,0.035474785
10,0.125012824,0.123422619,0.122258197
20,0.081308798,0.08152866,0.081254494
30,0.065509394,0.064346179,0.064105521
40,0.057709749,0.057621365,0.05750595
50,0.05077949,0.051076234,0.051029916
60,0.047559237,0.047718384,0.04766937
70,0.041248612,0.040853727,0.040784914
80,0.040263042,0.040250681,0.040213826
90,0.036913515,0.036873002,0.03684341
100,0.035363131,0.034982017,0.034926663
10,0.119116203,0.117184227,0.116189585
20,0.083875168,0.080767136,0.080225224
30,0.06594772,0.064520726,0.064260756
40,0.05761732,0.057021347,0.056869019
50,0.050769775,0.049939557,0.049803099
60,0.049445937,0.049175077,0.049084352
70,0.042715337,0.042340247,0.042266774
80,0.03876024,0.039242337,0.039252023
90,0.036817998,0.03662478,0.036582413
100,0.03634543,0.035940493,0.035880184
10,0.123225204,0.119487398,0.11826374
20,0.083284869,0.08150815,0.0810643
30,0.064454334,0.063814074,0.063627067
40,0.058061065,0.056794287,0.0565844
50,0.050305401,0.049355895,0.049210749
60,0.044226427,0.043978117,0.043913854
70,0.044607406,0.044422679,0.044358265
80,0.040437991,0.039948663,0.039871657
90,0.039679767,0.039546911,0.039500261
100,0.036691268,0.03652134,0.036479621
10,0.124320294,0.12135354,0.120105205
20,0.082737203,0.081586346,0.081190023
30,0.068773568,0.068172596,0.067941511
40,0.057331487,0.057174698,0.057060846
50,0.050778295,0.050424318,0.050324741
60,0.04721532,0.046776909,0.046682143
70,0.042053196,0.041982269,0.041937463
80,0.040541111,0.040458348,0.040414734
90,0.037761962,0.037711819,0.037678513
100,0.035288193,0.035094732,0.035054882
10,0.122495531,0.117879527,0.116604022
20,0.082879183,0.082018619,0.081638563
30,0.066957155,0.066221869,0.065999381
40,0.05796469,0.057530098,0.05738881
50,0.049871531,0.049229579,0.049112053
60,0.046538731,0.046224996,0.046145514
70,0.044085219,0.04410492,0.044059022
80,0.039342968,0.039120967,0.039070213
90,0.038408484,0.038444577,0.038417033
100,0.036853741,0.036915814,0.036893035
10,0.122166237,0.120409761,0.11931433
20,0.083163693,0.081610506,0.081184258
30,0.066199988,0.065885003,0.065709741
40,0.055801991,0.055058694,0.054907339
50,0.050505272,0.04977581,0.049647165
60,0.044294856,0.044514929,0.044488813
70,0.041976776,0.04222069,0.042201023
80,0.041122196,0.040384665,0.040283904
90,0.037516365,0.037090721,0.037026911
100,0.035539435,0.035239467,0.035190445
10,0.123560923,0.120087419,0.118843461
20,0.084433755,0.082601319,0.082128676
30,0.069097311,0.067646758,0.067352761
40,0.057461511,0.056952359,0.056806651
50,0.052228427,0.052441734,0.052378562
60,0.043395575,0.043813777,0.043809647
70,0.043672518,0.043290567,0.043212875
80,0.041236486,0.041083228,0.041030902
90,0.037879108,0.037381316,0.037309888
100,0.036349744,0.035997513,0.035941445
10,0.118731595,0.115842911,0.114675323
20,0.082912775,0.081557467,0.081153464
30,0.067231283,0.066790126,0.066593492
40,0.056160902,0.05642761,0.056355934
50,0.051248419,0.051188646,0.051110755
60,0.047703342,0.047364042,0.047275498
70,0.04233506,0.04235536,0.042315951
80,0.041811951,0.041465802,0.041395247
90,0.036438603,0.036259985,0.036220401
100,0.035103318,0.034865444,0.034822393
10,0.125475251,0.122242863,0.120949966
20,0.082236296,0.081340199,0.080984771
30,0.063885974,0.063185082,0.062995072
40,0.055526485,0.054545851,0.054377776
50,0.052797153,0.052177522,0.052046067
60,0.047620178,0.047130428,0.047030698
70,0.044171624,0.044180687,0.044132708
80,0.039123432,0.038964585,0.038919501
90,0.037587996,0.037495001,0.037458003
100,0.034608524,0.034387873,0.03434767
10,0.121351779,0.118724248,0.117627249
20,0.082472705,0.081382695,0.0810015
30,0.066759083,0.066613367,0.066434941
40,0.058685432,0.058682288,0.058569473
50,0.051823155,0.05134427,0.051229577
60,0.045807036,0.045404997,0.045320895
70,0.043237707,0.043017738,0.04295488
80,0.038695713,0.038773639,0.038750448
90,0.036477734,0.036412298,0.036381388
100,0.03600049,0.035425535,0.035350908
10,0.125487416,0.121504839,0.120201736
20,0.083751768,0.082463259,0.082041364
30,0.066788077,0.066361539,0.066169728
40,0.056739276,0.056133796,0.055988888
50,0.048220314,0.048115352,0.048052426
60,0.047734061,0.047610848,0.047539003
70,0.045194385,0.044873767,0.044795357
80,0.039575737,0.03961485,0.039584673
90,0.037730724,0.037712267,0.037681903
100,0.035962583,0.03576736,0.035725157
10,0.124583183,0.122189793,0.120979296
20,0.081942002,0.080328067,0.07992847
30,0.067207346,0.065605633,0.065319103
40,0.05818158,0.057590403,0.057436578
50,0.051926617,0.051519185,0.051408968
60,0.044718407,0.044292035,0.044211328
70,0.040931544,0.040997918,0.040969486
80,0.04016926,0.040302998,0.040278776
90,0.038185853,0.038083851,0.03804509
100,0.036016263,0.035831706,0.035790476
10,0.12056693,0.117379286,0.11624227
20,0.087278013,0.084438718,0.083873193
30,0.065881401,0.065369984,0.065176761
40,0.054696393,0.0536913,0.053528458
50,0.052470597,0.05220255,0.052100141
60,0.047217151,0.046690577,0.046589258
70,0.041714593,0.041712684,0.041674738
80,0.040999846,0.040653398,0.040585396
90,0.038223224,0.038044975,0.037999354
100,0.036031207,0.035691677,0.03563719
10,0.126007163,0.123623316,0.122405886
20,0.083245778,0.081867887,0.081450361
30,0.064915324,0.064132041,0.063930428
40,0.056847609,0.056173417,0.056020526
50,0.052387944,0.052421088,0.052343155
60,0.047340359,0.047159484,0.047085924
70,0.044939892,0.044267984,0.044160978
80,0.040810116,0.040632372,0.040579937
90,0.037595708,0.037249719,0.037192221
100,0.035985725,0.035903023,0.035871129
10,0.12728527,0.122891266,0.121542697
20,0.083241511,0.081696004,0.081272827
30,0.068266485,0.066942924,0.066664758
40,0.054450165,0.054830134,0.054777182
50,0.050276749,0.0504175,0.050361773
60,0.046297345,0.046148519,0.046082036
70,0.043217363,0.042910274,0.042840617
80,0.040143746,0.039995065,0.039948212
90,0.038056413,0.037893197,0.037849611
100,0.035921615,0.035998662,0.035979592
10,0.119755302,0.122878236,0.122117591
20,0.081068393,0.081052067,0.080764482
30,0.067374743,0.066647274,0.066419534
40,0.055978696,0.056332445,0.056265936
50,0.05229414,0.051295223,0.05113534
60,0.046621857,0.046428422,0.046357126
70,0.043881799,0.043604046,0.04353472
80,0.039388884,0.039451353,0.039424004
90,0.036323004,0.036053338,0.036006016
100,0.034426649,0.034179202,0.034137557
10,0.125166756,0.12080728,0.119422535
20,0.084721301,0.083325491,0.082891595
30,0.068878575,0.068021443,0.067771052
40,0.058370342,0.057552926,0.057379909
50,0.050092192,0.050167743,0.050106208
60,0.0466298,0.046256058,0.046168748
70,0.04289798,0.042915405,0.042872838
80,0.039570588,0.039549942,0.039514946
90,0.038071651,0.037829785,0.037779653
100,0.035999421,0.036264777,0.036261891
10,0.122127247,0.116789172,0.115498453
20,0.083314827,0.082723291,0.08236077
30,0.066623229,0.066952902,0.066819611
40,0.05766268,0.057377487,0.057251457
50,0.05071767,0.049823493,0.049681701
60,0.046749664,0.046325371,0.046234871
70,0.041997888,0.041861059,0.041811619
80,0.039034312,0.039197934,0.039180229
90,0.038636213,0.038477147,0.038431278
100,0.035212407,0.035326822,0.035313265
10,0.121193789,0.11969614,0.118627899
20,0.082626172,0.081234842,0.080832053
30,0.067153367,0.065702394,0.065427358
40,0.058241708,0.057161623,0.056966432
50,0.051140166,0.051205746,0.051137946
60,0.048629634,0.048034023,0.047921272
70,0.040935866,0.04078249,0.040735165
80,0.040568595,0.040479012,0.040434463
90,0.037694549,0.037592891,0.03755555
100,0.035536438,0.035378235,0.035340627
10,0.124178352,0.120673604,0.119441298
20,0.081499456,0.079995291,0.079593591
30,0.068879274,0.068163174,0.067925515
40,0.057112532,0.056597719,0.056455614
50,0.051074672,0.050933086,0.050848414
60,0.046738541,0.046651304,0.046587715
70,0.043696121,0.042803282,0.042682333
80,0.039632573,0.039725685,0.039699654
90,0.037699215,0.037542674,0.037500493
100,0.03441884,0.034079088,0.034029701
10,0.12113972,0.119031417,0.117918612
20,0.08082252,0.080481941,0.080176751
30,0.067960691,0.067440911,0.067228738
40,0.056257245,0.055316303,0.05514904
50,0.050174165,0.049628229,0.049516024
60,0.045807212,0.045483385,0.045405744
70,0.042686845,0.042039657,0.041943615
80,0.040098997,0.039924813,0.039875638
90,0.037228213,0.037195002,0.037164556
100,0.036092057,0.035805977,0.03575617
10,0.118476067,0.116328592,0.115332399
20,0.080602566,0.078800127,0.07839234
30,0.066641546,0.066139783,0.065938405
40,0.058284648,0.056685978,0.05644952
50,0.051783501,0.051262986,0.051145585
60,0.044562775,0.0440905,0.044006705
70,0.042235818,0.041432198,0.041325674
80,0.040833463,0.040791141,0.040750218
90,0.036243037,0.036168476,0.03613739
100,0.035069458,0.035142115,0.03512567
10,0.122792939,0.118890253,0.117671191
20,0.084545956,0.081772477,0.08124104
30,0.068441683,0.066224905,0.065878255
40,0.058014483,0.056823688,0.056622074
50,0.050199564,0.049825315,0.049727835
60,0.046511212,0.046469896,0.046411925
70,0.041614727,0.041202195,0.041131095
80,0.041021715,0.040851674,0.040799033
90,0.035536569,0.035678119,0.035668258
100,0.035759771,0.035359319,0.035300486
10,0.121742243,0.120208863,0.119143483
20,0.081951078,0.080370477,0.079963185
30,0.064555586,0.064545823,0.064406559
40,0.055261426,0.055219368,0.055127373
50,0.050806283,0.050205187,0.050084474
60,0.046150076,0.046233007,0.046187242
70,0.042913627,0.043072458,0.043042849
80,0.040259068,0.040453886,0.04043473
90,0.036783368,0.036499992,0.036449599
100,0.036444646,0.036397153,0.036366367
10,0.121304422,0.117908486,0.116736459
20,0.081935621,0.081514721,0.081182351
30,0.06677045,0.066204249,0.066002484
40,0.058400675,0.057639049,0.057468809
50,0.050200602,0.050196028,0.050129913
60,0.045612145,0.045292883,0.045216675
70,0.04263788,0.042651621,0.042610583
80,0.038788794,0.038380436,0.038316133
90,0.037874553,0.037758712,0.037719513
100,0.033859103,0.033907317,0.033892696
10,0.122064256,0.119293588,0.118137008
20,0.085381129,0.084012046,0.083574868
30,0.068893538,0.067678967,0.067405647
40,0.055144208,0.055283733,0.055207095
50,0.0487213,0.048093954,0.047984675
60,0.047471438,0.047253588,0.047176545
70,0.041471262,0.041137745,0.041073379
80,0.038795263,0.03865325,0.038610958
90,0.036963341,0.036675423,0.036624928
100,0.035342779,0.035431301,0.035415579
10,0.122771719,0.12124216,0.120140143
20,0.084387148,0.084360409,0.084024451
30,0.065184815,0.064323923,0.064112486
40,0.057310312,0.056730337,0.056580902
50,0.050511541,0.049716881,0.049583362
60,0.044839722,0.044666858,0.04460528
70,0.041788985,0.041499162,0.041437286
80,0.039923802,0.039964482,0.039933178
90,0.036968045,0.036925776,0.036895659
100,0.035727173,0.035453342,0.035405794
10,0.120241549,0.115862064,0.114653325
20,0.077909894,0.078218275,0.077994642
30,0.063436637,0.063415413,0.063281974
40,0.055803828,0.055891598,0.05580702
50,0.051053068,0.050739235,0.050640934
60,0.047537483,0.046549797,0.046408411
70,0.041377389,0.041517417,0.041493066
80,0.04129299,0.040870246,0.040795377
90,0.036848138,0.0367563,0.036722355
100,0.036789882,0.036749564,0.03671821
10,0.119520898,0.116858142,0.115790413
20,0.080896421,0.081000698,0.080708758
30,0.067184787,0.066808649,0.066611258
40,0.058480695,0.057170481,0.056952735
50,0.050464128,0.049936799,0.049824536
60,0.044916416,0.044597883,0.044525326
70,0.043997555,0.043587645,0.043506515
80,0.039523005,0.039436773,0.039396059
90,0.0378466,0.037593637,0.037543092
100,0.036248731,0.035831238,0.035769903
10,0.127502696,0.12236617,0.12096055
20,0.084116387,0.083119148,0.08271382
30,0.066906894,0.065394931,0.065110808
40,0.056980592,0.05642561,0.056283599
50,0.051846976,0.051316851,0.051196613
60,0.046759308,0.046366718,0.046279209
70,0.044523145,0.043905613,0.043805445
80,0.040075337,0.039986353,0.039944542
90,0.037288766,0.036859385,0.036795792
100,0.035074698,0.034696322,0.034641555
10,0.126136238,0.120996864,0.119608839
20,0.08116723,0.080530041,0.080197744
30,0.064681348,0.064177241,0.063994168
40,0.060973191,0.060358945,0.060182996
50,0.049916327,0.049998356,0.049940931
60,0.045227654,0.044893382,0.044816246
70,0.041488166,0.041165743,0.041102162
80,0.039990269,0.040026305,0.039995
90,0.036074355,0.035525049,0.035454917
100,0.036441089,0.036286673,0.036247019
10,0.123563196,0.120198561,0.118950444
20,0.082028757,0.081972966,0.08166333
30,0.068012318,0.066704954,0.066428862
40,0.05668962,0.0560013,0.055849134
50,0.05111452,0.050597183,0.050482854
60,0.045643873,0.045551229,0.045492217
70,0.042680997,0.042267016,0.042191828
80,0.040921277,0.040386382,0.04030388
