eta2,epsilon2,omega2,N
0.025413266,-0.002608346,-0.004951408,20
0.02599593,-0.002002683,-0.004349259,20
0.026869002,-0.001095147,-0.003444906,20
0.027259829,-0.000688892,-0.003045375,20
0.0322043,0.004450755,0.002072237,20
0.026977325,-0.000982549,-0.003334192,20
0.027430523,-0.000511461,-0.002866242,20
0.022773471,-0.005352344,-0.007679727,20
0.027424868,-0.000517339,-0.002868733,20
0.024849993,-0.003193854,-0.005530627,20
0.026848095,-0.001116879,-0.003469006,20
0.026848804,-0.001116143,-0.003470773,20
0.023586942,-0.004506762,-0.006840307,20
0.027390631,-0.000552927,-0.002913262,20
0.031142575,0.00334712,0.000969612,20
0.027173517,-0.000778612,-0.003134487,20
0.024058333,-0.004016764,-0.006351134,20
0.027530731,-0.000407298,-0.002757907,20
0.023536988,-0.004558689,-0.006883956,20
0.021261758,-0.00692373,-0.009247427,20
0.022412664,-0.005727393,-0.008052672,20
0.026165197,-0.001826734,-0.004170799,20
0.024458491,-0.00360081,-0.005939632,20
0.023090217,-0.005023095,-0.007350564,20
0.026066319,-0.001929515,-0.004275355,20
0.027180207,-0.000771658,-0.003126178,20
0.022949036,-0.005169849,-0.007489018,20
0.02544755,-0.002572709,-0.004913069,20
0.02318114,-0.004928583,-0.007260038,20
0.030067191,0.002229286,-0.000141342,20
0.026067051,-0.001928754,-0.004280825,20
0.027843743,-8.19E-05,-0.002435343,20
0.025793827,-0.002212764,-0.0045535,20
0.027842822,-8.29E-05,-0.00243761,20
0.028459453,0.000558084,-0.001803714,20
0.026338873,-0.001646202,-0.003998204,20
0.026652749,-0.001319937,-0.003668196,20
0.023996668,-0.004080863,-0.006414017,20
0.024605267,-0.00344824,-0.005786659,20
0.030388803,0.002563593,0.000192743,20
0.025915262,-0.002086535,-0.004433619,20
0.027219357,-0.000730962,-0.003092464,20
0.027671124,-0.000261363,-0.002622441,20
0.029541867,0.001683226,-0.000678007,20
0.027462917,-0.000477788,-0.002839676,20
0.030445724,0.002622761,0.000250946,20
0.027100491,-0.000854521,-0.003203806,20
0.028355532,0.000450062,-0.001912303,20
0.027191764,-0.000759644,-0.003115496,20
0.029875579,0.00203011,-0.000345932,20
0.028798673,0.000910695,-0.001453126,20
0.027103828,-0.000851052,-0.003201057,20
0.025015179,-0.003022148,-0.005357074,20
0.029605151,0.001749007,-0.000617729,20
0.018015884,-0.000534415,-0.002120577,30
0.020726429,0.00224623,0.000647663,30
0.017730168,-0.00082752,-0.002417855,30
0.019094361,0.000571953,-0.001017258,30
0.018890704,0.000363029,-0.001228415,30
0.018548004,1.15E-05,-0.001577332,30
0.013475617,-0.005192103,-0.006762072,30
0.018402065,-0.000138246,-0.00172909,30
0.019938533,0.001437958,-0.000158974,30
0.020122493,0.001626675,3.11E-05,30
0.019574137,0.001064138,-0.000531793,30
0.017129259,-0.00144397,-0.003028647,30
0.014074114,-0.004578127,-0.006149935,30
0.015325024,-0.003294866,-0.004872613,30
0.018984687,0.000459443,-0.001131857,30
