eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.065023337,0.067131508,0.070441949,0.0727258,0.068857926,0.071116721,0.012345679,10
0.038109499,0.038416035,0.039613821,0.039932457,0.039154452,0.039469905,0.012345679,20
0.024609233,0.025112285,0.025245679,0.02576174,0.02504543,0.02555736,0.012345679,30
0.0210864,0.021912045,0.021491908,0.02233343,0.021364304,0.022201186,0.012345679,40
0.017804465,0.018792119,0.018076982,0.019079753,0.017990288,0.018988559,0.012345679,50
0.017538413,0.018289787,0.017761359,0.018522284,0.017690798,0.018449,0.012345679,60
0.015118568,0.015833802,0.0152829,0.016005908,0.015230501,0.015951201,0.012345679,70
0.013828312,0.014298839,0.013959593,0.014434587,0.013917623,0.014391338,0.012345679,80
0.012333573,0.012740861,0.012437508,0.012848228,0.012404144,0.012813827,0.012345679,90
0.011619692,0.011960916,0.01170772,0.012051529,0.01167946,0.012022483,0.012345679,100
0.069386718,0.070608786,0.075168944,0.076492851,0.073524228,0.07483142,0.027355623,10
0.040880724,0.041541929,0.042494437,0.043181742,0.042010078,0.042690242,0.027355623,20
0.032348782,0.033477184,0.033185388,0.034342973,0.032930738,0.034080714,0.027355623,30
0.027167308,0.027626256,0.027689756,0.02815753,0.027529859,0.027995191,0.027355623,40
0.023407919,0.024197188,0.023766203,0.024567553,0.023655692,0.024453887,0.027355623,50
0.02159736,0.022160579,0.021871903,0.022442281,0.021787218,0.022355797,0.027355623,60
0.018798,0.020007664,0.019002326,0.020225138,0.018938789,0.020157967,0.027355623,70
0.018989084,0.019835626,0.01916936,0.020023939,0.019113589,0.019965917,0.027355623,80
0.016684012,0.017549194,0.016824607,0.01769708,0.016780613,0.017651145,0.027355623,90
0.015470213,0.016205572,0.015587411,0.016328342,0.015550802,0.016290175,0.027355623,100
0.079023896,0.080556517,0.08560922,0.08726956,0.083829358,0.085468881,0.047619048,10
0.052432813,0.053046966,0.054502529,0.055140925,0.053915192,0.054549894,0.047619048,20
0.041095449,0.042198201,0.042158262,0.043289534,0.041852335,0.042977629,0.047619048,30
0.033511108,0.034395817,0.034155553,0.035057275,0.033966125,0.03486422,0.047619048,40
0.029514633,0.030491131,0.029966387,0.030957831,0.029832144,0.030820017,0.047619048,50
0.025875043,0.026143321,0.026203963,0.026475652,0.026105731,0.026377054,0.047619048,60
0.023917729,0.024853958,0.024177705,0.02512411,0.024100192,0.025044337,0.047619048,70
0.022528312,0.022873503,0.022742188,0.023090656,0.022678094,0.023025978,0.047619048,80
0.021435707,0.021957994,0.021616345,0.022143033,0.021562123,0.022087876,0.047619048,90
0.020142348,0.020817789,0.020294941,0.020975499,0.020249136,0.020928553,0.047619048,100
0.088004474,0.091104561,0.09533818,0.098696608,0.093438646,0.096769666,0.072463768,10
0.059314746,0.061284956,0.061656117,0.063704099,0.061030655,0.063067246,0.072463768,20
0.045481437,0.046634407,0.046657681,0.047840469,0.046331205,0.04750847,0.072463768,30
0.03855072,0.039187304,0.03929208,0.039940906,0.039083601,0.039731542,0.072463768,40
0.035698224,0.037309529,0.036244626,0.037880593,0.036091086,0.037722624,0.072463768,50
0.030152618,0.030788166,0.030535914,0.03117954,0.030426991,0.031069638,0.072463768,60
0.029738429,0.030507034,0.030061673,0.030838632,0.029970114,0.030745836,0.072463768,70
0.027895492,0.029127345,0.028160323,0.02940387,0.028084683,0.029325979,0.072463768,80
0.026163192,0.027029348,0.026383668,0.027257123,0.026320991,0.027193198,0.072463768,90
0.023983431,0.024778362,0.024165123,0.024966077,0.02411314,0.024913064,0.072463768,100
0.091837488,0.093960395,0.099490612,0.101790428,0.097592878,0.099887645,0.101123596,10
0.067891472,0.068853883,0.070571398,0.071571799,0.069895065,0.070901231,0.101123596,20
0.052818147,0.053015223,0.054184133,0.054386306,0.053831476,0.054034656,0.101123596,30
0.045324808,0.046151874,0.046196439,0.04703941,0.045966919,0.04680971,0.101123596,40
0.040200292,0.040596047,0.040815603,0.041217415,0.04065346,0.041056534,0.101123596,50
0.034728978,0.035942807,0.035170448,0.036399707,0.035052475,0.036279688,0.101123596,60
0.031945823,0.032971909,0.03229306,0.0333303,0.03220053,0.033236739,0.101123596,70
0.030323747,0.031407804,0.030611631,0.031705979,0.030534588,0.031627746,0.101123596,80
0.028160897,0.029054218,0.028398208,0.029299057,0.028334323,0.029234397,0.101123596,90
0.028402914,0.02897538,0.028618088,0.02919489,0.028560026,0.029136649,0.101123596,100
0.103579677,0.103533197,0.112211317,0.112160964,0.110291097,0.110260699,0.132791328,10
0.067176967,0.069134726,0.069828689,0.071863729,0.069193435,0.071222687,0.132791328,20
0.054099505,0.054236032,0.05549863,0.055638688,0.055158796,0.055304871,0.132791328,30
0.047176403,0.048670926,0.048083642,0.049606905,0.047859512,0.049382578,0.132791328,40
0.044503115,0.044923521,0.045184285,0.045611126,0.045016937,0.045445494,0.132791328,50
0.040159298,0.040745111,0.040669797,0.041263057,0.04054374,0.041138247,0.132791328,60
0.036352519,0.036761777,0.036747655,0.037161362,0.036649828,0.037064747,0.132791328,70
0.034328116,0.035187619,0.034654016,0.035521679,0.034573258,0.03544107,0.132791328,80
0.033560614,0.034137499,0.033843428,0.034425175,0.033773268,0.034355511,0.132791328,90
0.030294366,0.0306571,0.030523868,0.030889351,0.030466815,0.030833064,0.132791328,100
0.103702815,0.104461377,0.112344716,0.113166492,0.110506558,0.111367781,0.166666667,10
0.072488444,0.074424951,0.07534983,0.077362778,0.074723299,0.076742391,0.166666667,20
0.057829567,0.057900226,0.05932516,0.059397646,0.058993388,0.059076215,0.166666667,30
0.051147452,0.05236298,0.052131057,0.053369961,0.051912352,0.053153639,0.166666667,40
0.047208521,0.047513854,0.047931101,0.048241107,0.047767946,0.048082361,0.166666667,50
0.040776035,0.041452148,0.041294375,0.041979082,0.041176507,0.041863813,0.166666667,60
0.038486757,0.039330144,0.038905092,0.039757646,0.038809759,0.039663268,0.166666667,70
0.035442716,0.036026934,0.035779197,0.036368962,0.035702546,0.036293558,0.166666667,80
0.034971608,0.035537605,0.035266313,0.035837079,0.035198828,0.035770471,0.166666667,90
0.032428128,0.03261892,0.032673796,0.032866033,0.032617956,0.03281167,0.166666667,100
0.109756164,0.110606933,0.118902511,0.119824177,0.117190245,0.118134173,0.201995012,10
0.074791787,0.07572228,0.077744095,0.078711318,0.077152542,0.078134638,0.201995012,20
0.062995913,0.064642034,0.064625118,0.066313811,0.064295561,0.065990099,0.201995012,30
0.053446527,0.054174724,0.054474345,0.055216546,0.054265447,0.055014345,0.201995012,40
0.049186571,0.048889229,0.049939427,0.049637534,0.049787999,0.049493511,0.201995012,50
0.043496907,0.044165428,0.044049834,0.044726853,0.043936886,0.044616871,0.201995012,60
0.039884072,0.041303465,0.040317595,0.041752415,0.040227569,0.041663675,0.201995012,70
0.039194505,0.039160864,0.039566605,0.039532645,0.039490844,0.039460164,0.201995012,80
0.036807211,0.037650268,0.037117385,0.037967545,0.0370529,0.0379042,0.201995012,90
0.033877932,0.033962109,0.034134583,0.034219398,0.03408205,0.034169224,0.201995012,100
0.112032197,0.114009061,0.121368213,0.123509816,0.119703905,0.121907313,0.238095238,10
0.079219673,0.080408153,0.082346766,0.083582159,0.081799945,0.08305785,0.238095238,20
0.065458072,0.066063075,0.067150953,0.067771603,0.066847952,0.067481003,0.238095238,30
0.053757608,0.054041153,0.054791408,0.055080405,0.054606231,0.054903829,0.238095238,40
0.050327886,0.051370357,0.05109821,0.052156638,0.050958207,0.052021189,0.238095238,50
0.046126319,0.046577051,0.046712671,0.047169132,0.046605967,0.047067007,0.238095238,60
0.043975788,0.043637334,0.044453786,0.044111653,0.044366414,0.044029712,0.238095238,70
0.039123401,0.039832192,0.039494826,0.040210345,0.039426685,0.040144724,0.238095238,80
0.037809617,0.037916176,0.038128237,0.038235694,0.038069604,0.038180257,0.238095238,90
0.035289501,0.035962124,0.035556845,0.036234564,0.035507752,0.036187225,0.238095238,100
0.110999452,0.109211124,0.120249407,0.118312051,0.1188165,0.1169799,0.274376417,10
0.078897983,0.078234746,0.082012377,0.08132296,0.081531109,0.080881834,0.274376417,20
0.064799214,0.065008349,0.066475056,0.066689599,0.066210896,0.066440792,0.274376417,30
0.055906996,0.056190421,0.05698213,0.057271006,0.056811589,0.057111774,0.274376417,40
0.050962654,0.050591939,0.051742694,0.051366305,0.051617577,0.051251086,0.274376417,50
0.046260534,0.046061115,0.046848592,0.046646637,0.046755666,0.046560528,0.274376417,60
0.041553407,0.04208038,0.042005074,0.042537776,0.041932859,0.042469537,0.274376417,70
0.041157654,0.041257016,0.041548391,0.041648697,0.04148688,0.041591148,0.274376417,80
0.037628462,0.037752937,0.037945555,0.03807108,0.037895559,0.038024318,0.274376417,90
0.035974545,0.035599974,0.03624708,0.035869671,0.03620344,0.035829345,0.274376417,100
0.109308266,0.109673117,0.118417288,0.118812543,0.11719969,0.117671578,0.310344828,10
0.081724045,0.081858875,0.084949995,0.085090147,0.084514111,0.084688361,0.310344828,20
0.065917424,0.065524571,0.067622185,0.067219172,0.067385986,0.067001221,0.310344828,30
0.056848604,0.056968185,0.057941846,0.058063727,0.057791479,0.057927436,0.310344828,40
0.051222196,0.051017625,0.052006209,0.051798507,0.05189877,0.051700051,0.310344828,50
0.046178727,0.046421725,0.046765744,0.047011831,0.046684271,0.04693687,0.310344828,60
0.042504748,0.042629673,0.042966756,0.043093039,0.042903519,0.043034807,0.310344828,70
0.040299475,0.040093565,0.040682065,0.0404742,0.04063026,0.04042714,0.310344828,80
0.038631173,0.038518806,0.038956716,0.038843403,0.038912433,0.038803262,0.310344828,90
0.036824048,0.036801268,0.037103018,0.037080065,0.037065357,0.037045564,0.310344828,100
0.116691636,0.115770671,0.126415939,0.125418227,0.125258609,0.124385339,0.345603272,10
0.079201075,0.07905087,0.082327433,0.082171299,0.081961997,0.081838262,0.345603272,20
0.064534599,0.063814588,0.066203597,0.065464965,0.066016069,0.065299191,0.345603272,30
0.056432974,0.056013835,0.057518224,0.057091025,0.057397094,0.056983227,0.345603272,40
0.050531613,0.050323305,0.051305056,0.05109356,0.051218021,0.051015127,0.345603272,50
0.046306035,0.046146092,0.046894671,0.046732695,0.046826639,0.046671465,0.345603272,60
0.042404595,0.041617944,0.042865514,0.042070313,0.042813236,0.042024549,0.345603272,70
0.041044236,0.041071089,0.041433896,0.041461004,0.04138979,0.041421641,0.345603272,80
0.03793265,0.037720527,0.038252308,0.038038396,0.038215726,0.038005671,0.345603272,90
0.035101754,0.034832871,0.035367676,0.035096756,0.035337086,0.035069766,0.345603272,100
0.112003366,0.110417211,0.12133698,0.119618646,0.120478103,0.118872533,0.379844961,10
0.083538557,0.082846563,0.086836132,0.086116822,0.086525145,0.085839874,0.379844961,20
0.067136668,0.065888692,0.068872961,0.06759271,0.068710001,0.067453534,0.379844961,30
0.056077243,0.054441247,0.057155651,0.055488194,0.057056079,0.055405665,0.379844961,40
