eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.077383729,0.078438908,0.001527847,0.002670957,0.001316121,0.002438908,0.012345679,10
0.037653858,0.038454013,0.000153839,0.000985579,1.96E-05,0.000840892,0.012345679,20
0.023789627,0.024498887,-0.001137908,-0.000410305,-0.001223613,-0.000502014,0.012345679,30
0.017044998,0.01759079,-0.001620566,-0.001064278,-0.001684031,-0.001131129,0.012345679,40
0.014366543,0.015385537,-0.000530719,0.000503872,-0.000587188,0.000442498,0.012345679,50
0.010426598,0.011608882,-0.001995789,-0.000798475,-0.002037242,-0.000844778,0.012345679,60
0.010266842,0.011263685,-0.000356935,0.000650744,-0.000398342,0.000605922,0.012345679,70
0.008115458,0.009013123,-0.001183962,-0.000277774,-0.001217877,-0.000314414,0.012345679,80
0.006958264,0.007856095,-0.001306029,-0.000400632,-0.001335904,-0.000432926,0.012345679,90
0.007033692,0.007834037,-0.000395252,0.000411156,-0.000424412,0.000380062,0.012345679,100
0.072525046,0.075203804,-0.002484899,0.00041709,-0.002939189,-9.70E-05,0.027355623,10
0.034518989,0.037478745,-0.002512276,0.000564312,-0.002790585,0.000251872,0.027355623,20
0.022007608,0.024488621,-0.002577825,-3.26E-05,-0.002769325,-0.000243629,0.027355623,30
0.014891293,0.016901249,-0.003527035,-0.001478427,-0.003667826,-0.001631021,0.027355623,40
0.012785441,0.014966639,-0.001906277,0.000308307,-0.002027189,0.000177078,0.027355623,50
0.010671271,0.012623484,-0.001557201,0.000419829,-0.00166001,0.000309363,0.027355623,60
0.007914141,0.009980147,-0.002572058,-0.000483595,-0.00265688,-0.000575424,0.027355623,70
0.006898923,0.008938078,-0.002269546,-0.000211032,-0.002344931,-0.000292478,0.027355623,80
0.005640389,0.007646931,-0.002508521,-0.000485069,-0.002574984,-0.000556809,0.027355623,90
0.006024009,0.008366268,-0.001298873,0.00106113,-0.001361584,0.000992886,0.027355623,100
0.067434763,0.070313907,-0.006310753,-0.00319168,-0.007121039,-0.004064777,0.047619048,10
0.033086632,0.036605595,-0.003201302,0.000456568,-0.003697581,-7.92E-05,0.047619048,20
0.020381492,0.023704969,-0.003721942,-0.000312513,-0.004058619,-0.000674449,0.047619048,30
0.013875016,0.017257477,-0.004173175,-0.000725667,-0.004425603,-0.000997478,0.047619048,40
0.007530643,0.010914546,-0.006931352,-0.003495654,-0.007121673,-0.003701448,0.047619048,50
0.00911046,0.012925796,-0.002880267,0.00098357,-0.003055286,0.00079411,0.047619048,60
0.006086398,0.009574168,-0.004199412,-0.000673732,-0.004345526,-0.00083117,0.047619048,70
0.004898659,0.008489381,-0.004096426,-0.000471615,-0.004224981,-0.000610483,0.047619048,80
0.004555775,0.008349966,-0.003431516,0.000394648,-0.00354748,0.00026913,0.047619048,90
0.003338301,0.006660039,-0.003851416,-0.000504513,-0.003954992,-0.000615637,0.047619048,100
0.067222769,0.070724642,-0.004470019,-0.000676324,-0.005822549,-0.002108874,0.072463768,10
0.031036701,0.035847471,-0.004351438,0.000649231,-0.005099413,-0.000150915,0.072463768,20
0.019320391,0.025375703,-0.004167949,0.002043966,-0.004679355,0.001489765,0.072463768,30
0.014587376,0.020059126,-0.002969333,0.002607643,-0.003363603,0.002184027,0.072463768,40
0.00959757,0.015477979,-0.004452512,0.001517904,-0.004763151,0.001181966,0.072463768,50
0.006427368,0.012244888,-0.005281643,0.000609829,-0.00553872,0.000332053,0.072463768,60
0.004674121,0.009726689,-0.005356989,-0.000249502,-0.005577619,-0.000485761,0.072463768,70
0.004822969,0.009621311,-0.003936967,0.000906929,-0.004134202,0.00069681,0.072463768,80
-0.000188613,0.005223209,-0.008006519,-0.002549092,-0.00817232,-0.00272795,0.072463768,90
0.000194052,0.005790184,-0.006831268,-0.001192741,-0.006983185,-0.001356694,0.072463768,100
0.057329303,0.062730876,-0.012799622,-0.006947918,-0.01458726,-0.008846416,0.101123596,10
0.028024416,0.034230917,-0.00635132,0.000100174,-0.007372267,-0.000981617,0.101123596,20
0.017616502,0.024221911,-0.005174702,0.001601536,-0.005874839,0.000857438,0.101123596,30
0.010511911,0.01701007,-0.006572021,5.11E-05,-0.007094894,-0.000504523,0.101123596,40
0.004903491,0.012026223,-0.008779768,-0.001548014,-0.009191062,-0.00198828,0.101123596,50
0.003382086,0.01016888,-0.008001316,-0.00112825,-0.008347876,-0.001497869,0.101123596,60
0.001357345,0.008644431,-0.008398297,-0.001032003,-0.008695009,-0.00134982,0.101123596,70
0.001267791,0.008474171,-0.00725381,2.10E-05,-0.007516724,-0.000260077,0.101123596,80
-0.00089841,0.006147567,-0.008480782,-0.001375428,-0.008711967,-0.001622399,0.101123596,90
-4.62E-06,0.007258305,-0.006814328,0.000503622,-0.007025935,0.0002774,0.101123596,100
0.059723336,0.067323494,-0.007567109,0.000666395,-0.010015875,-0.001933567,0.132791328,10
0.0248395,0.035155906,-0.008411915,0.002311718,-0.009712192,0.00091507,0.132791328,20
0.012010188,0.020605712,-0.010107014,-0.001289193,-0.010976755,-0.00221403,0.132791328,30
0.005343363,0.014123682,-0.01123097,-0.002281799,-0.011885332,-0.002977714,0.132791328,40
0.005387219,0.014286165,-0.007803926,0.001231229,-0.008341934,0.000660402,0.132791328,50
0.001401427,0.010095981,-0.009604598,-0.000799519,-0.010048942,-0.001270854,0.132791328,60
0.002799902,0.011539233,-0.006595846,0.002238479,-0.006985101,0.001826075,0.132791328,70
-0.000832115,0.007543166,-0.009073008,-0.000618215,-0.009408255,-0.000972975,0.132791328,80
-0.001855491,0.007052119,-0.009179065,-0.000196392,-0.009477334,-0.000513112,0.132791328,90
-0.001615545,0.007584369,-0.008197546,0.001072064,-0.008468031,0.000784447,0.132791328,100
0.052359942,0.062299738,-0.012721174,-0.001953062,-0.015693317,-0.005109808,0.166666667,10
0.018147074,0.030708617,-0.014031331,-0.000973937,-0.015577543,-0.002627385,0.166666667,20
0.01287097,0.023522459,-0.008347884,0.002579074,-0.009429705,0.00143683,0.166666667,30
