N,eta2,epsilon2,omega2
30,0.065006982,0.066688197,0.066428788
40,0.054944608,0.056001235,0.055838026
50,0.049833588,0.050596347,0.050478388
60,0.044959103,0.045530617,0.045440399
70,0.041806882,0.042261305,0.042191827
80,0.039961667,0.04034105,0.040282697
90,0.036425468,0.036732424,0.036685325
100,0.034833185,0.035097072,0.035055618
10,0.109322621,0.118432839,0.117079848
20,0.078824504,0.081935998,0.081456673
30,0.064380566,0.06604558,0.065788584
40,0.054904192,0.055960042,0.05579366
50,0.050189591,0.050957799,0.050838719
60,0.045180051,0.045754373,0.045664189
70,0.043345959,0.043817111,0.043743975
80,0.04020686,0.040588571,0.040529052
90,0.037692976,0.038010613,0.037961779
100,0.034908445,0.035172903,0.035132092
10,0.111325983,0.120603149,0.119213473
20,0.077985789,0.081064175,0.080588101
30,0.062122195,0.063728804,0.063480836
40,0.054701341,0.05575329,0.055588165
50,0.050303896,0.051073854,0.050953326
60,0.045992197,0.046576843,0.046485676
70,0.041885434,0.042340711,0.042270315
80,0.03841626,0.038780971,0.038724319
90,0.037788411,0.038106852,0.038057873
100,0.035167319,0.035433738,0.035392352
10,0.110046324,0.119216851,0.117807831
20,0.082129081,0.085371018,0.084870254
30,0.063666882,0.065313439,0.065056832
40,0.053917407,0.05495428,0.054790787
50,0.050327505,0.051097824,0.050980917
60,0.047419728,0.048022522,0.047929744
70,0.043021474,0.043489098,0.043417134
80,0.039734026,0.040111248,0.040052027
90,0.038205286,0.038527241,0.038477031
100,0.035730449,0.036001135,0.03595901
10,0.110431139,0.119633734,0.118202985
20,0.07958523,0.082726752,0.082247435
30,0.064294208,0.065956989,0.06570087
40,0.056345881,0.057429455,0.057258861
50,0.049649646,0.050409589,0.050291677
60,0.044785671,0.04535498,0.04526753
70,0.042998349,0.043465722,0.043392255
80,0.040715681,0.041102222,0.041041981
90,0.037919712,0.038239261,0.038188843
100,0.034471826,0.034732976,0.034692172
10,0.109003759,0.118087405,0.11673388
20,0.077083119,0.080125873,0.079653669
30,0.064437618,0.066104108,0.065844389
40,0.056547856,0.057635315,0.057464081
50,0.052630675,0.053436247,0.053310361
60,0.046420474,0.047010564,0.046917517
70,0.042077488,0.042534852,0.042463215
80,0.039818815,0.040196842,0.040137775
90,0.037659622,0.037976978,0.037926688
100,0.034877363,0.035141585,0.035100588
10,0.109966949,0.119130861,0.117733829
20,0.07875995,0.081868895,0.081389869
30,0.066020595,0.067728024,0.067464681
40,0.055562141,0.056630643,0.056463918
50,0.048502795,0.049245184,0.049131507
60,0.045107594,0.045680996,0.045591807
70,0.042885853,0.043352004,0.043279023
80,0.040257079,0.040639267,0.040579721
90,0.036407612,0.036714417,0.036666117
100,0.036462281,0.03673851,0.036696103
10,0.112597013,0.121980097,0.120617143
20,0.07584129,0.078835025,0.078362475
30,0.065113446,0.066797415,0.066536725
40,0.057258754,0.058359884,0.058190645
50,0.050345377,0.051115969,0.050997236
60,0.044011133,0.044570597,0.044482341
70,0.043083742,0.043552043,0.043477455
80,0.038801954,0.039170327,0.03911302
90,0.035770154,0.036071588,0.03602438
100,0.03480889,0.035072594,0.035031264
10,0.111229731,0.120498876,0.119089779
20,0.080417262,0.083591627,0.083116371
30,0.064850703,0.066527876,0.066271465
40,0.055112973,0.056172838,0.056007151
50,0.051670445,0.052461319,0.052338452
60,0.044473685,0.045039029,0.044949492
70,0.041499886,0.041950972,0.041880309
80,0.037520117,0.03787632,0.037820316
90,0.037906742,0.038226181,0.038175575
100,0.036434085,0.036710101,0.03666701
10,0.109369364,0.118483478,0.117072245
20,0.080409384,0.083583439,0.083103091
30,0.063243808,0.064879424,0.064623947
40,0.054099176,0.055139544,0.054979133
50,0.050829355,0.051607355,0.051488832
60,0.045098004,0.045671284,0.045583273
70,0.04028555,0.040723436,0.040654883
80,0.040366421,0.040749647,0.040689571
90,0.036223134,0.036528385,0.036480157
100,0.036689695,0.036967647,0.036924168
10,0.110191705,0.119374347,0.11800182
20,0.079810943,0.082961375,0.082483576
30,0.065113654,0.066797627,0.066532303
40,0.053508602,0.054537614,0.054379477
50,0.048002148,0.048736875,0.048623087
60,0.046551886,0.047143647,0.047051678
70,0.042787552,0.043252634,0.043180429
80,0.038512936,0.038878566,0.038821337
90,0.0364598,0.036767045,0.036719084
100,0.033839424,0.034095783,0.034055431
10,0.110625358,0.119844138,0.11842787
20,0.078270713,0.081360346,0.080894364
30,0.065156818,0.066841908,0.066585415
40,0.056351494,0.057435177,0.057267834
50,0.050572006,0.051346067,0.051226237
60,0.04687184,0.047467669,0.047374213
70,0.044904226,0.045392315,0.045317551
80,0.040885104,0.041273254,0.041213023
90,0.036121576,0.036425972,0.036377613
100,0.035141416,0.035407639,0.035366441
10,0.112653832,0.122041652,0.120600964
20,0.076690744,0.07971801,0.079253014
30,0.06579156,0.067493066,0.067232648
40,0.056348711,0.05743234,0.057264173
50,0.050470976,0.051243491,0.051123291
60,0.044739625,0.045308349,0.045218264
70,0.04226978,0.042729234,0.042657984
80,0.039887821,0.040266503,0.040208014
90,0.036270759,0.036576412,0.036529326
100,0.03633519,0.036610456,0.036567218
10,0.111967681,0.121298321,0.119896458
20,0.079392886,0.082526816,0.082053252
30,0.064714327,0.066387973,0.066132569
40,0.056540915,0.05762824,0.057461969
50,0.048176217,0.048913608,0.048798622
60,0.044871758,0.045442162,0.045352363
70,0.042576197,0.043038982,0.042966408
80,0.037172128,0.037525028,0.037470718
90,0.03790947,0.038228931,0.038179378
100,0.03427291,0.034532553,0.034491725
10,0.112132652,0.12147704,0.120031333
20,0.078714748,0.081821909,0.081340331
30,0.066069193,0.067777879,0.067509569
40,0.055956311,0.057032394,0.056867301
50,0.049960351,0.050725051,0.050605821
60,0.044520336,0.045086272,0.044996421
70,0.042704377,0.043168555,0.043095564
80,0.038879815,0.039248928,0.039190874
90,0.037622608,0.037939652,0.037890238
100,0.034406782,0.03466744,0.034626805
10,0.1078559,0.116843891,0.115453515
20,0.078027326,0.081107352,0.080628088
30,0.063287444,0.064924188,0.064664745
40,0.055667274,0.056737798,0.056574419
50,0.048542625,0.049285624,0.049170345
60,0.046940769,0.047537474,0.047445873
70,0.041884726,0.042339995,0.042269131
80,0.039823371,0.040201441,0.04014252
90,0.03703273,0.037344804,0.037295713
100,0.035806312,0.036077572,0.036034963
10,0.110290003,0.119480836,0.118079408
20,0.079569235,0.082710125,0.082240926
30,0.062140058,0.063747129,0.063493512
40,0.055584694,0.05665363,0.056488792
50,0.050457128,0.051229431,0.051110798
60,0.044221355,0.044783491,0.044696643
70,0.040516021,0.040956412,0.040887521
80,0.039647562,0.040023963,0.039964238
90,0.037097331,0.037409949,0.037360351
100,0.035577271,0.035846795,0.035804764
10,0.109876364,0.119032728,0.117650274
20,0.077786635,0.08085716,0.080390181
30,0.06432432,0.06598788,0.06573281
40,0.054804362,0.055858292,0.055695651
50,0.049885219,0.050648768,0.050530514
60,0.044483979,0.045049453,0.044961023
70,0.042254951,0.042714244,0.042642598
80,0.039232302,0.03960476,0.039547634
90,0.036431769,0.036738779,0.036689833
100,0.034882133,0.035146391,0.035105207
10,0.109931879,0.119092868,0.11767323
20,0.074707744,0.077656734,0.077203858
30,0.063387875,0.065027216,0.064771773
40,0.058030407,0.059146376,0.058971564
50,0.050252605,0.051021778,0.050902636
60,0.046018332,0.046603311,0.046513444
70,0.041585168,0.042037181,0.041966458
80,0.038918102,0.039287577,0.039229114
90,0.036647119,0.036955943,0.036907487
100,0.036497528,0.036774024,0.036730784
10,0.113337764,0.122782577,0.121337063
20,0.076288312,0.079299692,0.07883707
30,0.062434849,0.064049544,0.063802771
40,0.05622114,0.057302316,0.057135306
50,0.049019527,0.049769826,0.049654116
60,0.045799216,0.04638141,0.046290429
70,0.041865753,0.042320815,0.042249409
80,0.038351267,0.038715361,0.038657858
90,0.037649139,0.037966407,0.037917159
100,0.035133198,0.035399359,0.035357827
10,0.111140587,0.120402302,0.118994154
20,0.08161563,0.084837299,0.084354275
30,0.06626691,0.06798071,0.067710729
40,0.053980884,0.055018978,0.054857583
50,0.050816631,0.051594437,0.051475553
60,0.046746252,0.047340484,0.047248178
70,0.041411682,0.041861809,0.041791495
80,0.038445877,0.03881087,0.038753655
90,0.036750323,0.037060017,0.037011508
100,0.036071592,0.036344862,0.03630243
10,0.109205848,0.118306335,0.116871222
20,0.075261694,0.07823255,0.077777075
30,0.065547055,0.067242237,0.066975037
40,0.053764411,0.054798342,0.054638682
50,0.048774606,0.049521156,0.049406832
60,0.046148453,0.046735086,0.046643746
70,0.041220717,0.041668768,0.041598951
80,0.039972954,0.040352445,0.040293121
90,0.038999994,0.039328646,0.039277489
100,0.035093246,0.035359104,0.035317481
10,0.112223055,0.121574976,0.120189979
20,0.079283635,0.082413252,0.081939867
30,0.061185107,0.06276748,0.062524813
40,0.056127218,0.057206588,0.05704143
50,0.05058255,0.051356773,0.051238107
60,0.044013667,0.044573163,0.044486699
70,0.040687821,0.04113008,0.041059615
80,0.04014721,0.040528355,0.040468671
90,0.037405374,0.037720588,0.037671405
100,0.036790655,0.037069372,0.037025927
10,0.114169402,0.123683518,0.122257783
20,0.080209301,0.083375457,0.082888085
30,0.064025123,0.065680945,0.065421724
40,0.057566103,0.058673143,0.058502316
50,0.049027818,0.049778244,0.049660376
60,0.045413769,0.045991063,0.045901633
70,0.041291221,0.041740038,0.04166929
80,0.040407899,0.040791518,0.040731819
90,0.038678974,0.03900492,0.038953976
100,0.034683063,0.034945814,0.034904221
10,0.112346754,0.121708984,0.120324453
20,0.07770027,0.080767386,0.080298533
30,0.062885253,0.064511596,0.06425377
40,0.055527296,0.056595128,0.056424724
50,0.05089387,0.051672858,0.05155186
60,0.044408801,0.044973319,0.044884893
70,0.039954811,0.040389102,0.040320835
80,0.041155336,0.041546051,0.041486065
90,0.037484119,0.037799996,0.037750153
100,0.034114112,0.034372552,0.034332354
10,0.111054728,0.120309289,0.11886576
20,0.077384591,0.080439246,0.079964613
30,0.065812752,0.067514806,0.067252574
40,0.054531205,0.055579882,0.055415702
50,0.050625194,0.051400069,0.051279046
60,0.045163127,0.045737235,0.045647903
70,0.041503604,0.041954731,0.041885028
80,0.040050275,0.0404305,0.04037184
90,0.038854648,0.039182075,0.039132432
100,0.035393657,0.035661791,0.035619853
10,0.111279401,0.120552684,0.119145538
20,0.075593504,0.078577458,0.078117641
30,0.061751331,0.063348349,0.063098335
40,0.056380023,0.057464254,0.057294516
50,0.049594565,0.050353665,0.050234955
60,0.045309597,0.045885566,0.045796038
70,0.042755987,0.043220726,0.043148753
80,0.03792454,0.038284583,0.038228151
90,0.037338225,0.037652873,0.037603513
100,0.035185294,0.035451849,0.035410648
10,0.11331498,0.122757895,0.121329086
20,0.078302348,0.08139323,0.080922804
30,0.064187498,0.065847519,0.06558888
40,0.058562309,0.059688507,0.059516671
50,0.05078985,0.051567245,0.051446783
60,0.046012776,0.046597684,0.046506982
70,0.042600806,0.043063859,0.042991808
80,0.040993149,0.041382325,0.041321966
90,0.03652799,0.03683581,0.036787322
100,0.034871908,0.03513609,0.035094865
10,0.112408222,0.121775574,0.120350859
20,0.079885312,0.08303868,0.082553418
30,0.064042533,0.065698806,0.065438924
40,0.054623865,0.055674324,0.055509077
50,0.048756825,0.049503103,0.049387592
60,0.045926289,0.046510097,0.046419638
70,0.043229823,0.043699712,0.043626695
80,0.037662792,0.03802035,0.037964778
90,0.037398331,0.037713485,0.037664484
100,0.036133401,0.036407139,0.036364793
10,0.110833074,0.120069163,0.118670482
20,0.080851639,0.084043151,0.083555598
30,0.064197227,0.0658575,0.065603159
40,0.055186065,0.056247335,0.056080374
50,0.050708902,0.051485059,0.051365255
60,0.043088864,0.043636603,0.043551381
70,0.043276437,0.043746833,0.043674344
80,0.040706093,0.041092543,0.041033342
90,0.037062773,0.0373751,0.037326548
100,0.035769498,0.036040479,0.035997952
10,0.108784296,0.117849654,0.116462333
20,0.07925828,0.082386896,0.08191115
30,0.064422365,0.066088461,0.065825783
40,0.056303564,0.057386325,0.057218519
50,0.047778569,0.048509874,0.048396072
60,0.044896354,0.04546707,0.04537863
70,0.04371995,0.044195167,0.044121934
80,0.039992233,0.040371906,0.04031247
90,0.038185752,0.038507542,0.038457963
100,0.035324843,0.035592456,0.035550235
