N,eta2,epsilon2,omega2
100,0.036045436,0.036318508,0.036276304
10,0.110802714,0.120036274,0.118668534
20,0.077496524,0.080555597,0.080085779
30,0.065864979,0.067568384,0.06730318
40,0.055548529,0.056616769,0.056454084
50,0.049477373,0.050234679,0.050116053
60,0.045656428,0.046236806,0.046146167
70,0.042344282,0.042804546,0.042733341
80,0.038997436,0.039367665,0.039310451
90,0.036743141,0.037052774,0.037004396
100,0.038044541,0.038332757,0.03828745
10,0.107038677,0.115958567,0.114627474
20,0.081707912,0.084933225,0.08445168
30,0.063964157,0.065618403,0.065360492
40,0.053941681,0.054979021,0.054818805
50,0.050827003,0.051604967,0.051484457
60,0.045873502,0.04645664,0.046364977
70,0.043436836,0.043908976,0.04383538
80,0.038967301,0.039337244,0.039279462
90,0.03642493,0.036731882,0.036683793
100,0.034489343,0.034750626,0.034709847
10,0.109957972,0.119121136,0.117687653
20,0.079477584,0.082614857,0.08213129
30,0.064852032,0.06652924,0.066279572
40,0.057715453,0.058825365,0.058656495
50,0.047975878,0.048710203,0.04859689
60,0.047348155,0.047950038,0.047857014
70,0.042436805,0.042898075,0.042825859
80,0.038831493,0.039200146,0.039142498
90,0.037487905,0.037803814,0.037754637
100,0.035514062,0.035783108,0.035741235
10,0.108636271,0.117689294,0.116340586
20,0.075199587,0.078167992,0.077706766
30,0.063180905,0.064814894,0.064567691
40,0.055921276,0.056996685,0.056830035
50,0.049601466,0.050360672,0.050242856
60,0.0465094,0.047100621,0.047008581
70,0.042535797,0.042998143,0.042925696
80,0.038375527,0.038739852,0.038682694
90,0.037566927,0.037883502,0.037833774
100,0.034482667,0.0347439,0.034702606
10,0.111967861,0.121298516,0.119907884
20,0.079200568,0.082326907,0.08183814
30,0.064225638,0.065886646,0.065628611
40,0.057545863,0.058652514,0.058481826
50,0.049618127,0.050377588,0.050259404
60,0.044291471,0.044854498,0.044765188
70,0.042959038,0.043425984,0.043354219
80,0.039731607,0.040108806,0.04005052
90,0.037519863,0.037836041,0.037786898
100,0.035773886,0.036044901,0.036002949
10,0.112832083,0.122234756,0.120840557
20,0.076002664,0.079002769,0.078530396
30,0.064171256,0.065830858,0.065567929
40,0.055064642,0.056123577,0.055959775
50,0.04864549,0.049390064,0.049273403
60,0.046176462,0.046763451,0.046672221
70,0.0417382,0.042191876,0.042120779
80,0.039323229,0.039696551,0.039638681
90,0.037611162,0.03792811,0.037878484
100,0.034678001,0.034940713,0.034899784
10,0.107774796,0.116756029,0.115413096
20,0.08046051,0.083636582,0.083150178
30,0.061925004,0.063526513,0.063279713
40,0.056873465,0.057967185,0.057799372
50,0.048964542,0.049713999,0.049597509
60,0.043196106,0.043745209,0.043659793
70,0.041234704,0.041682908,0.041611927
80,0.038001212,0.038361983,0.038305612
90,0.037932821,0.03825248,0.038202423
100,0.034980254,0.035245256,0.035204071
10,0.106303508,0.115162133,0.113755188
20,0.076618459,0.079642872,0.079178344
30,0.065582494,0.067278593,0.067013592
40,0.057262185,0.058363381,0.058193488
50,0.050548655,0.051322359,0.05120319
60,0.044749545,0.045318395,0.045228756
70,0.044208788,0.044689319,0.044613915
80,0.040867095,0.041255074,0.041194411
90,0.038011477,0.038331799,0.038282215
100,0.035659502,0.035929649,0.035887269
10,0.11256154,0.121941669,0.120578905
20,0.08064908,0.083832597,0.08334358
30,0.062378001,0.063991225,0.063741802
40,0.054415054,0.055461498,0.055296372
50,0.048565606,0.049308957,0.049193286
60,0.045755982,0.046337626,0.046248308
70,0.040623173,0.04106473,0.040995167
80,0.039369615,0.039743377,0.039685775
90,0.037043569,0.037355734,0.037306782
100,0.034506992,0.034768409,0.034727177
10,0.104970552,0.113718098,0.112340601
20,0.078278832,0.081368785,0.080892598
30,0.064875839,0.066553662,0.066294524
