eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
-0.001863254,0.007601383,-0.010113936,-0.000559446,-0.010446656,-0.000914242,0.132791328,80
-0.004800683,0.004579975,-0.012149076,-0.002689368,-0.012440687,-0.003000572,0.132791328,90
-0.003214079,0.006625871,-0.009808191,0.000106304,-0.010075594,-0.000179499,0.132791328,100
0.04586756,0.056247496,-0.019754588,-0.008509657,-0.022587848,-0.011535129,0.166666667,10
0.019459871,0.030139454,-0.012666713,-0.001565568,-0.014227888,-0.003217799,0.166666667,20
0.011024834,0.022380564,-0.010241766,0.001407647,-0.011313632,0.000270084,0.166666667,30
0.005463502,0.015891178,-0.010457072,0.000171136,-0.011264747,-0.000680791,0.166666667,40
-0.002331693,0.008311154,-0.015122484,-0.004316737,-0.015754408,-0.004985644,0.166666667,50
-0.001551403,0.009394742,-0.012164344,-0.001079054,-0.012701903,-0.001647825,0.166666667,60
-0.004065669,0.007166611,-0.013167832,-0.001813462,-0.013626751,-0.002299819,0.166666667,70
-0.00492713,0.006347125,-0.012885299,-0.001504009,-0.013288165,-0.001930992,0.166666667,80
-0.008359411,0.003152358,-0.015452327,-0.003843549,-0.015805551,-0.004218801,0.166666667,90
-0.005963104,0.00552498,-0.01232141,-0.000746295,-0.012645178,-0.001089719,0.166666667,100
0.045125748,0.058550165,-0.017614189,-0.00307107,-0.021041247,-0.006719162,0.201995012,10
0.017186824,0.029432645,-0.013634945,-0.000905737,-0.015475309,-0.002841883,0.201995012,20
0.003386663,0.016657748,-0.017163811,-0.003549508,-0.018386641,-0.004840717,0.201995012,30
0.000144592,0.013266424,-0.015198877,-0.001824703,-0.016130885,-0.002807585,0.201995012,40
-0.002100568,0.010995135,-0.014347082,-0.001050934,-0.015097535,-0.001842273,0.201995012,50
-0.002888387,0.009942086,-0.013069235,-7.57E-05,-0.013700138,-0.000739356,0.201995012,60
-0.005646805,0.007349677,-0.014382151,-0.001244403,-0.014921056,-0.001811632,0.201995012,70
-0.005886012,0.007077417,-0.013517889,-0.000431389,-0.013991265,-0.000929752,0.201995012,80
-0.009455693,0.003915521,-0.016260137,-0.002776244,-0.016676636,-0.00321563,0.201995012,90
-0.006079256,0.00704773,-0.012170803,0.00105563,-0.012552553,0.000653796,0.201995012,100
0.041430117,0.055866016,-0.018609437,-0.002970546,-0.022550654,-0.007114516,0.238095238,10
0.015647965,0.030715841,-0.01380954,0.001853121,-0.015905988,-0.000346364,0.238095238,20
0.006500614,0.021870627,-0.0130357,0.002731814,-0.014454351,0.001243359,0.238095238,30
0.001042165,0.014162519,-0.013589808,-0.000217139,-0.014660753,-0.001332973,0.238095238,40
-0.004155469,0.010539522,-0.015880881,-0.000960967,-0.016732984,-0.001852966,0.238095238,50
-0.004995761,0.009295137,-0.014744497,-0.000271935,-0.015458862,-0.001018688,0.238095238,60
-0.005940736,0.008772859,-0.014286883,0.000586643,-0.014900752,-5.59E-05,0.238095238,70
-0.007613428,0.007198044,-0.01491898,3.31E-05,-0.015456266,-0.000529215,0.238095238,80
-0.008525153,0.006367788,-0.01501754,9.03E-07,-0.015495232,-0.000499279,0.238095238,90
-0.008629959,0.005823119,-0.014467344,9.52E-05,-0.014898475,-0.000355402,0.238095238,100
0.03955723,0.055447331,-0.017614966,-0.00040069,-0.022057168,-0.005059425,0.274376417,10
0.011026098,0.028323068,-0.017181697,0.000798048,-0.019493618,-0.001621223,0.274376417,20
0.001385663,0.017290919,-0.017344628,-0.001028029,-0.018902674,-0.002650041,0.274376417,30
-0.003002867,0.012253053,-0.017014914,-0.001465611,-0.018191115,-0.002687443,0.274376417,40
-0.004271315,0.011740762,-0.015443175,0.000813984,-0.016390482,-0.000171513,0.274376417,50
-0.005517508,0.010560857,-0.014811674,0.001471076,-0.0156042,0.000646863,0.274376417,60
-0.007545412,0.00808292,-0.01551464,0.000283565,-0.016194165,-0.000422182,0.274376417,70
-0.006495489,0.00965649,-0.013445987,0.002859334,-0.01404373,0.002238033,0.274376417,80
-0.00802861,0.00836965,-0.014211072,0.002325376,-0.014742126,0.001773034,0.274376417,90
-0.010493471,0.005216511,-0.016070115,-0.000241119,-0.016546102,-0.000735707,0.274376417,100
0.036124921,0.05234722,-0.018335933,-0.000761776,-0.023192924,-0.005794745,0.310344828,10
0.010442875,0.027140625,-0.016368137,0.000988735,-0.018882061,-0.001611369,0.310344828,20
-0.000848612,0.016449624,-0.018706468,-0.000960864,-0.020394142,-0.002708384,0.310344828,30
-0.003379477,0.014733037,-0.016707067,0.001753765,-0.017984825,0.000430373,0.310344828,40
-0.007205926,0.009877229,-0.017872167,-0.000527535,-0.018894829,-0.001584936,0.310344828,50
-0.009523001,0.008543349,-0.018410859,-0.000114852,-0.019264085,-0.000998414,0.310344828,60
-0.008387189,0.008250834,-0.015974606,0.000844265,-0.01671064,8.45E-05,0.310344828,70
-0.009694811,0.007795435,-0.01633421,0.001322083,-0.016978288,0.000656139,0.310344828,80
-0.010031318,0.008502052,-0.015927553,0.002761998,-0.016500855,0.002168249,0.310344828,90
-0.010316393,0.006610791,-0.015619208,0.001436213,-0.016135807,0.000902797,0.310344828,100
0.033287473,0.050604356,-0.018471631,0.000288325,-0.023620792,-0.005023875,0.345603272,10
0.006064324,0.023371564,-0.019527745,-0.001537324,-0.022201173,-0.004286144,0.345603272,20
-0.000345493,0.01795094,-0.017278481,0.001491136,-0.019084732,-0.000367115,0.345603272,30
-0.003087384,0.014706922,-0.015731309,0.002405195,-0.01709509,0.001004364,0.345603272,40
-0.007470249,0.010330407,-0.017600866,0.000472249,-0.0186916,-0.000648193,0.345603272,50
-0.008571778,0.009357991,-0.016999344,0.001158346,-0.017910706,0.000222257,0.345603272,60
-0.008715776,0.00984965,-0.015923521,0.002843704,-0.016707143,0.002038188,0.345603272,70
-0.010428922,0.008170193,-0.016740558,0.002035131,-0.017425627,0.001331027,0.345603272,80
-0.010232699,0.008408295,-0.015833509,0.002964573,-0.016443956,0.002337236,0.345603272,90
-0.010751641,0.00777727,-0.015790644,0.002878638,-0.016340564,0.002313617,0.345603272,100
0.031212115,0.048987618,-0.017866461,0.001390333,-0.023324144,-0.004204886,0.379844961,10
4.96E-05,0.017043293,-0.02442827,-0.006763749,-0.027210407,-0.009608257,0.379844961,20
-0.002331151,0.015953729,-0.018429932,0.000327833,-0.020319473,-0.001603971,0.379844961,30
-0.006730435,0.012834093,-0.018785925,0.001154844,-0.020210604,-0.000303407,0.379844961,40
-0.00631461,0.011774615,-0.015903431,0.00246267,-0.017049159,0.001293254,0.379844961,50
-0.00792311,0.010699505,-0.015907155,0.002952189,-0.016863897,0.001975157,0.379844961,60
-0.01252185,0.00705562,-0.019398773,0.000391495,-0.020216211,-0.000444565,0.379844961,70
-0.009997767,0.009397573,-0.01598023,0.003599243,-0.016699006,0.00286472,0.379844961,80
-0.010997593,0.007649458,-0.016316295,0.002487894,-0.016955954,0.001834858,0.379844961,90
-0.010862701,0.008532324,-0.015643138,0.003898819,-0.016219505,0.003310149,0.379844961,100
0.028313815,0.047925057,-0.018256364,0.002989148,-0.023928322,-0.002793059,0.412844037,10
0.012364009,0.029780679,-0.010325148,0.007779023,-0.013269672,0.004791902,0.412844037,20
-0.006215419,0.013889831,-0.02156123,-0.000936017,-0.023516045,-0.002926646,0.412844037,30
-0.003346739,0.016393481,-0.01470256,0.00541728,-0.016183586,0.003912681,0.412844037,40
-0.006530866,0.013736593,-0.015617909,0.004959766,-0.016805662,0.003752294,0.412844037,50
-0.009536889,0.010459452,-0.017121967,0.003128564,-0.018111044,0.00212315,0.412844037,60
-0.010163912,0.008838835,-0.01665652,0.002552779,-0.017505887,0.001690095,0.412844037,70
-0.009915922,0.010503224,-0.015584326,0.005028673,-0.016328736,0.004272223,0.412844037,80
-0.013019451,0.006736305,-0.018077109,0.001845129,-0.018737665,0.001173877,0.412844037,90
-0.012728771,0.00732359,-0.017273352,0.00293092,-0.017868464,0.002326084,0.412844037,100
0.026923316,0.046652807,-0.017129371,0.004244244,-0.022963571,-0.001673384,0.444444444,10
0.006201766,0.025777366,-0.015483252,0.004865069,-0.018489045,0.001826227,0.444444444,20
-0.001930109,0.018941473,-0.016347841,0.005063522,-0.018358355,0.003028997,0.444444444,30
-0.005301373,0.014431832,-0.016087083,0.004025607,-0.017602751,0.002494061,0.444444444,40
-0.008710934,0.012021771,-0.017347666,0.003702377,-0.018562562,0.002473711,0.444444444,50
-0.008507346,0.012120876,-0.015677637,0.005212808,-0.016691856,0.004187243,0.444444444,60
-0.009464097,0.010770942,-0.015605615,0.00484937,-0.016475729,0.003970106,0.444444444,70
-0.010784905,0.009287849,-0.016161555,0.004101763,-0.01692329,0.00333176,0.444444444,80
-0.014094499,0.006555961,-0.018894921,0.00192956,-0.019570984,0.001245915,0.444444444,90
-0.012111856,0.008678195,-0.016412367,0.004535184,-0.017022247,0.003918717,0.444444444,100
0.026433641,0.046948111,-0.015151185,0.007072824,-0.02114268,0.001030979,0.47454844,10
0.004970946,0.024583773,-0.015574341,0.004812676,-0.018623059,0.001743582,0.47454844,20
-0.002382832,0.017826284,-0.016033721,0.004698044,-0.01808037,0.00264018,0.47454844,30
-0.004274977,0.016425657,-0.014462026,0.006636698,-0.016000874,0.005089186,0.47454844,40
-0.008164023,0.013111078,-0.016331608,0.005269131,-0.017564585,0.004029091,0.47454844,50
-0.009137527,0.010949971,-0.015933151,0.004409696,-0.016962409,0.003374761,0.47454844,60
-0.008698083,0.01166087,-0.014504057,0.006076188,-0.015387106,0.00518856,0.47454844,70
-0.010940641,0.01045658,-0.016032972,0.005567387,-0.016805365,0.00479057,0.47454844,80
-0.010947442,0.009712787,-0.015467659,0.005366674,-0.016154617,0.004675866,0.47454844,90
-0.01214063,0.00856853,-0.016213298,0.00465275,-0.016832025,0.004030641,0.47454844,100
0.024781854,0.046305891,-0.014560859,0.008756848,-0.020602665,0.002690241,0.50310559,10
0.003709083,0.023650366,-0.015758759,0.00496968,-0.018832221,0.00188981,0.50310559,20
-0.004470544,0.016931343,-0.017436879,0.004518506,-0.019493745,0.002458216,0.50310559,30
-0.005373845,0.016080287,-0.01503285,0.006833862,-0.016584052,0.005281337,0.50310559,40
-0.006287461,0.014013633,-0.013989224,0.0066226,-0.015231287,0.005380157,0.50310559,50
-0.007926847,0.012005388,-0.014344066,0.005841545,-0.015379771,0.004805227,0.50310559,60
-0.010792733,0.009808414,-0.016311071,0.004514001,-0.017199623,0.003624723,0.50310559,70
-0.008923901,0.011634764,-0.013725973,0.007027869,-0.014504228,0.006249307,0.50310559,80
-0.010031928,0.010206778,-0.014303779,0.006105478,-0.014995248,0.005413532,0.50310559,90
-0.013513379,0.007832729,-0.017380105,0.004127717,-0.018002718,0.003504645,0.50310559,100
0.019970988,0.040417603,-0.017522864,0.004627636,-0.02359779,-0.001445022,0.53010279,10
0.005968371,0.026437489,-0.012344609,0.0089325,-0.015427446,0.005862406,0.53010279,20
-0.002250086,0.01841886,-0.014460792,0.006742696,-0.016524524,0.004686124,0.53010279,30
-0.006293047,0.013535113,-0.015450552,0.004758919,-0.017000287,0.003214158,0.53010279,40
-0.007037871,0.013771283,-0.014337897,0.006789764,-0.015579787,0.005552706,0.53010279,50
-0.011825035,0.008873007,-0.017948623,0.00301253,-0.018984841,0.001979744,0.53010279,60
-0.010135952,0.011477774,-0.015353704,0.006494954,-0.016242613,0.005609709,0.53010279,70
-0.01119083,0.010110383,-0.015758122,0.005745318,-0.016536534,0.004969938,0.53010279,80
-0.010160617,0.011203474,-0.014206048,0.007338077,-0.014897747,0.006649454,0.53010279,90
-0.013032338,0.008780912,-0.016690895,0.005287607,-0.017313825,0.004667174,0.53010279,100
0.024554439,0.044533118,-0.010436395,0.011207174,-0.0164844,0.005206001,0.555555556,10
0.006401319,0.026483825,-0.010889857,0.009985379,-0.013957197,0.006942982,0.555555556,20
-0.000270964,0.020853793,-0.011772224,0.009898863,-0.013822802,0.00786539,0.555555556,30
-0.004626101,0.015639404,-0.013262073,0.007393153,-0.014804734,0.005862867,0.555555556,40
-0.008140393,0.01235146,-0.015067712,0.005737792,-0.016304062,0.004511353,0.555555556,50
-0.00917496,0.012252227,-0.014941309,0.006758259,-0.015972462,0.005736044,0.555555556,60
-0.008032591,0.01264655,-0.012950819,0.007953094,-0.01383468,0.00707685,0.555555556,70
-0.008518225,0.012214623,-0.012818504,0.008111175,-0.013591639,0.007344704,0.555555556,80
-0.011713042,0.008977066,-0.015557066,0.005307397,-0.01624543,0.004624636,0.555555556,90
-0.010333149,0.01041282,-0.013778434,0.007124702,-0.014397654,0.006510766,0.555555556,100
0.01735361,0.036846764,-0.016241868,0.004875716,-0.022254753,-0.001067762,0.579500657,10
0.003950173,0.023165456,-0.012492558,0.007481224,-0.015529765,0.004477857,0.579500657,20
-0.000835308,0.018775844,-0.011731894,0.008386443,-0.013764448,0.006378304,0.579500657,30
-0.003479641,0.017112477,-0.011633083,0.009355038,-0.01315887,0.007848943,0.579500657,40
-0.005938181,0.014416708,-0.012465286,0.008201157,-0.013688203,0.006993865,0.579500657,50
-0.008788811,0.012311242,-0.014245864,0.00712241,-0.015266294,0.006114847,0.579500657,60
-0.009283128,0.0108354,-0.013954677,0.006382531,-0.014829543,0.005518208,0.579500657,70
-0.010255828,0.01019878,-0.014345276,0.006303521,-0.015111394,0.005546988,0.579500657,80
-0.009913319,0.010521635,-0.013540392,0.007066766,-0.014221352,0.00639442,0.579500657,90
-0.010052244,0.010278406,-0.013313998,0.007170672,-0.013926791,0.006565529,0.579500657,100
0.019040552,0.038637106,-0.012540231,0.008689369,-0.0184832,0.002838511,0.60199005,10
0.002618324,0.022602764,-0.01298924,0.007784059,-0.015989195,0.004831793,0.60199005,20
-0.001034449,0.019403632,-0.011354563,0.009612089,-0.013356353,0.007643081,0.60199005,30
-0.002444878,0.017910772,-0.010145932,0.010601173,-0.011649544,0.009123137,0.60199005,40
-0.004747348,0.01498996,-0.010912,0.009127409,-0.012116578,0.007942185,0.60199005,50
-0.006548295,0.013530229,-0.011690984,0.008642774,-0.012695828,0.00765447,0.60199005,60
-0.007624749,0.013194554,-0.012033822,0.009011778,-0.012895793,0.008164644,0.60199005,70
-0.007994337,0.012230381,-0.011848808,0.008567917,-0.012602957,0.007826261,0.60199005,80
-0.007766799,0.012465731,-0.011186266,0.009216763,-0.011856387,0.008557834,0.60199005,90
-0.009271965,0.011420521,-0.012357434,0.008491813,-0.012961265,0.007898192,0.60199005,100
0.020537504,0.04037576,-0.009160539,0.012330905,-0.014988063,0.006623284,0.623085984,10
0.003763879,0.022731466,-0.010965731,0.008750575,-0.013910657,0.005862528,0.623085984,20
-0.000427142,0.018668317,-0.010185965,0.009403342,-0.012153478,0.007474293,0.623085984,30
