eta2r,eta2not,epsilon2r,epsilon2not,omega2r,omega2not,eta2p,N
0.067403048,0.069291625,0.073019968,0.075065927,0.071418355,0.073438217,0.012345679,10
0.038808737,0.038467228,0.040340661,0.039985671,0.039878703,0.039526394,0.012345679,20
0.027654766,0.027488071,0.028369976,0.028198969,0.028146823,0.027976707,0.012345679,30
0.021022824,0.021076335,0.021427109,0.021481649,0.021299646,0.02135397,0.012345679,40
0.019305764,0.020001137,0.019601261,0.020307276,0.01950782,0.02021078,0.012345679,50
0.016977815,0.017182034,0.017193635,0.017400449,0.017124944,0.01733104,0.012345679,60
0.015711518,0.0165203,0.015882295,0.016699869,0.015827856,0.016642931,0.012345679,70
0.013479862,0.01395356,0.013607835,0.01408603,0.013566863,0.014043712,0.012345679,80
0.012685172,0.013199888,0.01279207,0.013311123,0.012757796,0.013275557,0.012345679,90
0.011919802,0.012446809,0.012010104,0.012541103,0.011981184,0.012510933,0.012345679,100
0.072835471,0.074942578,0.078905094,0.081187793,0.077204931,0.079477655,0.027355623,10
0.042923427,0.044897652,0.044617773,0.046669927,0.044116007,0.046153005,0.027355623,20
0.033736308,0.034796514,0.034608798,0.035696424,0.034345554,0.035425644,0.027355623,30
0.02672311,0.027768989,0.027237016,0.028303008,0.027078788,0.028139611,0.027355623,40
0.024629304,0.025296766,0.025006283,0.025683961,0.024890503,0.025565779,0.027355623,50
0.021249982,0.022016262,0.021520109,0.022296129,0.021436691,0.022210028,0.027355623,60
0.020335524,0.020786902,0.020556562,0.021012846,0.020488178,0.020943199,0.027355623,70
0.018166757,0.018489453,0.018339226,0.018664986,0.018285499,0.018610535,0.027355623,80
0.017332159,0.017877832,0.017478217,0.018028488,0.017432805,0.017981836,0.027355623,90
0.017063829,0.017597388,0.017193101,0.017730701,0.017152894,0.017689456,0.027355623,100
0.079279933,0.081137262,0.085886594,0.0878987,0.084110611,0.086105293,0.047619048,10
0.050856749,0.052373089,0.052864252,0.054440448,0.052294325,0.053856106,0.047619048,20
0.038936082,0.03978271,0.03994305,0.040811573,0.03965052,0.040514564,0.047619048,30
0.033808356,0.034326306,0.034458517,0.034986428,0.034268018,0.034794172,0.047619048,40
0.030833259,0.031631701,0.031305197,0.03211586,0.031166134,0.031974528,0.047619048,50
0.026920706,0.027615161,0.027262918,0.027966201,0.027161251,0.027862884,0.047619048,60
0.024847574,0.025576109,0.025117656,0.02585411,0.025037095,0.025771982,0.047619048,70
0.02210348,0.022035684,0.022313323,0.022244884,0.022250628,0.02218271,0.047619048,80
0.022042361,0.022812121,0.022228111,0.023004358,0.022172772,0.022947517,0.047619048,90
0.020512394,0.021090506,0.020667791,0.021250283,0.020621458,0.021203006,0.047619048,100
0.090203372,0.090555576,0.09772032,0.098101874,0.095798279,0.096174345,0.072463768,10
0.058705173,0.059716149,0.061022482,0.062073366,0.060404898,0.061448845,0.072463768,20
0.04688893,0.048843879,0.048101575,0.050107083,0.047769116,0.049764663,0.072463768,30
0.039459585,0.040425759,0.040218423,0.041203178,0.040007355,0.040989247,0.072463768,40
0.035299268,0.036207846,0.035839563,0.036762048,0.035687944,0.036608541,0.072463768,50
0.031086137,0.032626728,0.0314813,0.033041475,0.031368841,0.032925205,0.072463768,60
0.028746435,0.029116495,0.029058896,0.029432979,0.028970583,0.029344323,0.072463768,70
0.02678665,0.027426887,0.027040953,0.027687269,0.026968937,0.027614508,0.072463768,80
0.024812403,0.025312449,0.025021496,0.025525756,0.02496155,0.025465308,0.072463768,90
0.023673128,0.02477393,0.02385247,0.024961612,0.023801231,0.024908765,0.072463768,100
0.089270203,0.091040984,0.096709387,0.098627733,0.094874525,0.096783431,0.101123596,10
0.062735788,0.06515647,0.065212201,0.067728436,0.064581538,0.067087518,0.101123596,20
0.051690107,0.053181114,0.05302692,0.054556488,0.052680617,0.054206856,0.101123596,30
0.044001895,0.045012778,0.044848085,0.045878408,0.04462511,0.045654144,0.101123596,40
0.039421797,0.040096533,0.040025192,0.040710255,0.039866208,0.040551447,0.101123596,50
0.035778401,0.035999017,0.036233211,0.036456632,0.036112421,0.036336696,0.101123596,60
