N,eta2B,epsilon2B,omega2B,eta2R,epsilon2R,omega2R,eta2S,epsilon2S,omega2S
10,0.059755797,0.003460937,-0.001124417,0.12527912,0.119335492,0.117949435,0.110109503,0.119285295,0.117944076
20,0.031039877,0.003240367,0.000871706,0.088045536,0.08570623,0.085156118,0.082392612,0.085644952,0.085151657
30,0.018637801,0.000103586,-0.001486298,0.066846385,0.065855884,0.065619276,0.064195573,0.065855803,0.065602442
40,0.016559001,0.002737172,0.001531142,0.058617091,0.057376219,0.057164925,0.056229555,0.057310893,0.057144415
50,0.012203974,0.001136268,0.00017281,0.052989062,0.052366141,0.052232094,0.051564559,0.052353812,0.052231809
60,0.011097931,0.001892047,0.001085759,0.047971191,0.047300926,0.047183705,0.04666981,0.04726307,0.047171211
70,0.008879024,0.000983207,0.000292577,0.044120105,0.043698251,0.043614429,0.043217434,0.043687189,0.043613448
80,0.010309959,0.003427198,0.00281903,0.043158072,0.042444974,0.042340006,0.041908518,0.042306384,0.042246055
90,0.008996726,0.002876242,0.002335701,0.039865154,0.039269453,0.039182816,0.038836702,0.039163978,0.039113138
100,0.00811823,0.002609322,0.002123075,0.039170745,0.038698625,0.038624612,0.038320251,0.038610556,0.038566219
