N,eta2B,epsilon2B,omega2B,eta2R,epsilon2R,omega2R,eta2S,epsilon2S,omega2S
10,0.058900596,0.002534469,-0.002034598,0.125614437,0.120221595,0.118836293,0.110949117,0.120194877,0.118818874
20,0.021676152,-0.006492978,-0.008810312,0.082189797,0.082664792,0.082387971,0.079279929,0.0824094,0.081915543
30,0.017529746,-0.001033125,-0.002618436,0.066619875,0.065942506,0.065726342,0.0642722,0.065934412,0.065674164
40,0.013344977,-0.00053866,-0.001736576,0.055733377,0.055155363,0.055017749,0.054112115,0.055152732,0.054990335
50,0.013417715,0.002368587,0.001401121,0.051200861,0.050223649,0.050070707,0.049411467,0.050167765,0.050051099
60,0.006073998,-0.00319575,-0.00399254,0.045715096,0.045996907,0.04596894,0.045309784,0.045885756,0.04579523
70,0.006258879,-0.001665417,-0.002351703,0.043276081,0.043318561,0.043277192,0.042821088,0.043286535,0.043213248
80,0.005212445,-0.00171871,-0.002320068,0.039355828,0.039416951,0.039389742,0.039009122,0.039379462,0.039321356
90,0.006737054,0.000597528,5.99E-05,0.03913137,0.038876492,0.038821851,0.038547065,0.0388719,0.038821805
100,0.003373378,-0.002171476,-0.002652664,0.035428529,0.035601027,0.035591692,0.035267563,0.035534741,0.035492702
