CUE,QSS,QCON,KF1,HAL1,LogHAL1,Subtlex1,LogSub1,Length1,POS1,Ortho1,Phono1,Phonemes1,Syllables1,Morphemes1
angry,9,3.75,45,13441,9.51,58.98,3.48,5,JJ,0,0,5,2,1
animal,28,5.65,68,24745,10.12,45.49,3.37,6,NN,0,1,5,3,1
ankle,16,7,8,2699,7.9,8.02,2.61,5,NN,1,3,4,2,1
annoy,15,,,3874,8.26,2.51,2.11,5,VB,0,3,3,2,1
annoying,24,,6,13329,9.5,11.12,2.75,8,JJ|VB|NN,0,0,5,3,2
annually,,,14,2741,7.92,0.49,1.42,8,RB,0,1,7,3,3
answer,9,3.85,152,109246,11.6,176.2,3.95,6,NN|VB,0,2,4,2,1
ant,14,6,6,2773,7.93,5.35,2.44,3,NN,11,11,3,1,1
anxiety,19,1.63,42,2664,7.89,6.76,2.54,7,NN,0,0,8,3,2
anxious,19,2.44,29,2734,7.91,14.1,2.86,7,JJ,0,0,6,2,2
apart,8,3,57,22038,10,47.02,3.38,5,RB,0,0,5,2,1
apartment,18,5.77,81,8965,9.1,83.04,3.63,9,NN,0,0,9,3,2
apathetic,16,,1,466,6.14,0.35,1.28,9,JJ,0,0,8,4,3
ape,10,6.4,3,3850,8.26,9.67,2.69,3,NN|VB,14,21,2,1,1
apology,14,2.6,3,4124,8.32,15.76,2.91,7,NN,0,0,7,4,2
appear,15,2.67,118,46487,10.75,23.37,3.08,6,VB,1,2,4,2,1
apple,17,7,9,65844,11.1,23.67,3.08,5,NN,2,4,3,2,1
approach,,,123,34189,10.44,20.98,3.03,8,NN|VB,0,0,5,2,1
approximation,,,7,2162,7.68,0.06,0.6,13,NN,0,0,11,5,4
april,,,71,36958,10.52,20.65,3.02,5,NN,0,1,5,2,1
apron,14,,7,540,6.29,2.67,2.14,5,NN,2,1,5,2,1
apron,,,7,540,6.29,2.67,2.14,5,NN,2,1,5,2,1
arc,,,41,7835,8.97,4.84,2.39,3,NN|VB,7,4,3,1,1
area,21,3.68,323,160430,11.99,74.92,3.58,4,NN,3,5,4,2,1
argue,10,3.23,29,20857,9.95,19.75,3,5,VB,1,0,5,2,1
argument,11,3.8,63,49353,10.81,17,2.94,8,NN,0,0,9,3,2
arm,6,5.53,94,20427,9.92,65.41,3.52,3,NN|VB,7,5,3,1,1
armor,13,5.09,4,13211,9.49,7.29,2.57,5,NN,2,10,4,2,1
armour,,,,2803,7.94,1.69,1.94,6,NN,2,10,4,2,1
arms,11,,121,32708,10.4,59.8,3.48,4,NN|VB,7,4,4,1,2
army,12,6.53,132,34024,10.43,85.69,3.64,4,NN,2,8,4,2,1
around,16,2.46,561,268131,12.5,736.73,4.57,6,minor|RB,3,7,5,2,1
arrival,,,23,6175,8.73,8.27,2.63,7,NN,0,2,5,3,2
arrive,12,,24,9548,9.16,18.69,2.98,6,VB,1,5,4,2,1
arrogant,22,,2,3936,8.28,5.22,2.43,8,JJ,0,1,7,3,3
arrow,9,7,14,7324,8.9,7.84,2.6,5,NN,0,8,3,2,1
art,17,4.36,208,62513,11.04,70.8,3.56,3,NN,11,5,3,1,1
artichoke,,,,181,5.2,0.55,1.46,9,NN,0,0,7,3,1
artist,12,5.65,57,17005,9.74,28.63,3.16,6,NN,0,0,6,2,2
ascend,15,,1,1128,7.03,0.92,1.68,6,VB,1,7,5,2,2
ascent,14,3.13,1,943,6.85,0.31,1.23,6,NN,3,3,5,2,2
ashamed,13,3.21,16,3799,8.24,27.37,3.15,7,JJ,1,0,5,2,3
ashtray,8,6.56,,254,5.54,3.25,2.22,7,NN,0,0,5,2,2
asia,19,,44,13885,9.54,5.29,2.43,4,NN,2,2,3,2,1
ask,17,2.48,128,138493,11.84,483.14,4.39,3,VB,6,1,3,1,1
asleep,15,,29,5410,8.6,49.82,3.41,6,RB|JJ,0,0,5,2,1
asparagus,,,1,285,5.65,0.98,1.71,9,NN,0,0,9,4,1
ass,13,6.03,5,29848,10.3,226.37,4.06,3,NN|VB,7,17,2,1,1
assault,18,,15,10485,9.26,17.57,2.95,7,NN|VB,0,1,5,2,1
assistant,11,,36,14971,9.61,32.22,3.22,9,NN,0,1,7,3,3
assume,23,,63,42861,10.67,33.47,3.23,6,VB,1,0,4,2,2
asymmetrical,,,,174,5.16,0.12,0.85,12,JJ,0,0,10,5,5
athletic,20,,18,3739,8.23,3.86,2.3,8,JJ,0,0,7,3,2
atom,12,4.77,37,3410,8.13,2.75,2.15,4,NN,1,6,4,2,1
atomic,12,,46,5018,8.52,4.88,2.4,6,JJ,1,1,6,3,2
attach,20,,14,7340,8.9,2.47,2.1,6,VB|NN,1,1,4,2,2
attack,20,3.87,105,46040,10.74,75.55,3.59,6,NN|VB,1,4,4,2,1
attain,,,20,2206,7.7,0.92,1.68,6,VB,0,3,4,2,2
attempt,8,2.92,95,41637,10.64,19.12,2.99,7,NN|VB,0,0,6,2,1
attic,21,,16,1401,7.24,7.84,2.6,5,NN,2,3,4,2,1
attractive,16,,39,12510,9.43,24.63,3.1,10,JJ,0,1,8,3,2
aunt,3,5.79,22,2845,7.95,55.2,3.45,4,NN,6,11,3,1,1
australia,,,11,35703,10.48,8.43,2.63,9,NN,0,0,8,3,1
auto,7,6.87,22,15581,9.65,7.67,2.59,4,NN,1,2,3,2,1
average,19,2.35,130,61913,11.03,16.65,2.93,7,JJ|NN|VB,1,1,6,3,1
avocado,,,11,300,5.7,1.22,1.8,7,NN,0,0,7,4,1
awake,9,4.4,20,3506,8.16,26.71,3.13,5,JJ|VB,3,3,4,2,2
award,24,4.58,46,15755,9.66,12.88,2.82,5,NN|VB,2,5,5,2,1
aware,18,,84,37088,10.52,35.65,3.26,5,JJ|NN,3,5,4,2,1
away,17,2.53,456,150815,11.92,730.9,4.57,4,RB|minor,2,5,3,2,1
awful,11,2.28,17,8797,9.08,63.41,3.51,5,JJ,0,3,3,2,2
ax,18,6.65,6,3139,8.05,4.33,2.35,2,NN|VB,14,10,3,1,1
axe,,,6,3070,8.03,4.88,2.4,3,NN|VB,12,10,3,1,1
baby,19,5.77,62,35810,10.49,509.37,4.41,4,NN|VB,2,13,4,2,1
back,12,4.89,967,393090,12.88,2009.16,5.01,4,RB|JJ|NN|VB,18,44,3,1,1
backpack,12,,1,1933,7.57,3.65,2.27,8,NN,0,0,6,2,2
backward,7,,22,4305,8.37,3.12,2.2,8,RB|JJ|NN,1,0,6,2,2
bacon,10,6.46,10,3147,8.05,11.86,2.78,5,NN,3,5,5,2,1
bad,9,3,142,153580,11.94,545.18,4.44,3,JJ|NN|RB,23,40,3,1,1
bag,17,6.3,42,16427,9.71,94.04,3.68,3,NN|VB,25,33,3,1,1
bagpipe,,,1,367,5.91,0.29,1.2,7,NN,0,0,6,2,2
bake,10,4.76,12,2528,7.84,6.33,2.51,4,VB|JJ|NN,19,36,3,1,1
baked,14,4.35,8,1780,7.48,6.69,2.53,5,JJ|VB,13,14,4,1,2
ball,17,6.08,110,38502,10.56,104.96,3.73,4,NN,20,47,3,1,1
ballet,17,5.23,45,1669,7.42,10.25,2.72,6,NN,8,4,4,2,1
balloon,21,6.1,10,4612,8.44,8.67,2.65,7,NN|VB,0,4,5,2,1
banana,13,6.29,4,2879,7.97,10.73,2.74,6,NN,0,0,6,3,1
band,14,5.83,53,49179,10.8,53.41,3.44,4,NN|VB,16,20,4,1,1
bandmaster,,,,17,2.83,0.02,0.3,10,NN,0,0,9,3,2
banjo,14,6.33,2,1022,6.93,1.63,1.92,5,NN,0,3,5,2,1
bank,6,5.69,83,39506,10.58,84.98,3.64,4,NN|VB,18,16,4,1,1
banner,6,5.8,8,3113,8.04,5.92,2.48,6,NN,8,15,4,2,1
bar,13,6.4,82,31561,10.36,85.98,3.64,3,NN|VB,19,45,3,1,1
barbarism,,,,262,5.57,0.29,1.2,9,NN,0,0,9,4,2
bargain,16,2.71,7,3813,8.25,12,2.79,7,NN|VB,0,2,6,2,1
bark,5,5.51,14,2441,7.8,5.49,2.45,4,NN|VB,19,20,4,1,1
barley,18,,6,1197,7.09,0.9,1.67,6,NN,6,9,5,2,1
barn,13,6.68,29,2575,7.85,13.59,2.84,4,NN,16,17,4,1,1
barrel,25,6.1,24,6836,8.83,10.63,2.73,6,NN|VB,4,11,5,2,1
base,20,4.34,91,59143,10.99,35.37,3.26,4,NN|VB,14,28,3,1,1
baseball,18,5.75,57,18372,9.82,25.25,3.11,8,NN,0,0,6,2,2
basement,19,6.83,31,4682,8.45,21.06,3.03,8,NN,2,2,7,2,2
bashful,4,,2,212,5.36,1.24,1.81,7,JJ,0,0,5,2,2
basic,20,,171,73227,11.2,15.57,2.9,5,JJ|NN,4,2,5,2,2
basket,19,5.93,17,2815,7.94,13.18,2.83,6,NN,4,4,6,2,1
basketball,13,5.88,9,9831,9.19,21.39,3.04,10,NN,0,0,9,3,2
bass,14,5.43,16,17075,9.75,7.55,2.59,4,NN,18,28,3,1,1
bat,17,5.6,18,6469,8.77,20.63,3.02,3,NN|VB,26,46,3,1,1
bath,10,5.9,26,5621,8.63,31.12,3.2,4,NN,13,23,3,1,1
bathroom,14,,18,6414,8.77,61.67,3.5,8,NN,0,1,6,2,2
bathtub,14,,4,988,6.9,6.1,2.49,7,NN,0,0,6,2,2
baton,,,10,1688,7.43,2.84,2.16,5,NN,4,1,5,2,1
battalion,,,3,1054,6.96,5.84,2.48,9,NN,0,0,8,3,1
battlefield,,,5,1729,7.46,3.24,2.22,11,NN,0,0,8,3,2
bayonet,,,6,604,6.4,1.57,1.91,7,NN,1,0,6,2,1
bazooka,,,,495,6.2,0.9,1.67,7,NN,0,0,6,3,1
beach,16,6.08,61,26666,10.19,56.63,3.46,5,NN,7,26,3,1,1
beak,,,,582,6.37,2.1,2.03,4,NN,12,46,3,1,1
beam,13,4.7,21,7878,8.97,8.73,2.65,4,NN|VB,9,28,3,1,1
bean,19,6,5,3575,8.18,6.84,2.54,4,NN,16,49,3,1,1
beans,21,6,9,4851,8.49,14.43,2.87,5,NN,11,30,4,1,2
bear,28,5.81,57,23529,10.07,57.41,3.47,4,VB|NN,20,44,3,1,1
beard,13,5.68,26,3173,8.06,12.61,2.81,5,NN,4,25,4,1,1
beast,15,6.51,7,16393,9.7,24.55,3.1,5,NN,6,18,4,1,1
beat,17,3.67,68,33104,10.41,131.69,3.83,4,VB|NN,20,42,3,1,1
beautician,,,,25,3.22,0.22,1.08,10,NN,0,0,7,3,2
beautiful,8,3.89,127,31342,10.35,279.73,4.15,9,JJ,0,1,7,3,2
beaver,16,6.5,3,1727,7.45,4.82,2.39,6,NN|VB,5,8,4,2,1
bed,11,6.59,127,31345,10.35,187.12,3.98,3,NN|VB,20,42,3,1,1
bedroom,14,6.03,52,6735,8.82,36.71,3.27,7,NN,0,1,6,2,2
bedrooms,,,4,813,6.7,2.98,2.18,8,NN,0,0,7,2,3
