CUE,QSS,QCON,KF1,HAL1,LogHAL1,Subtlex1,LogSub1,Length1,POS1,Ortho1,Phono1,Phonemes1,Syllables1,Morphemes1
exercise,28,4.62,58,19538,9.88,17.73,2.96,8,NN|VB,1,0,7,3,1
exhale,6,4.5,,446,6.1,1.67,1.93,6,VB,0,0,6,2,2
exhort,,,,93,4.53,,,6,VB,1,2,6,2,1
exit,8,4.25,7,25629,10.15,15.57,2.9,4,NN|VB,2,0,5,2,1
expensive,13,2.45,44,36397,10.5,27.94,3.15,9,JJ,2,2,9,3,3
experiment,15,,63,13238,9.49,16.2,2.92,10,NN,0,0,11,4,2
explain,17,2.6,64,43650,10.68,111.18,3.75,7,VB,0,0,7,2,1
explode,15,4.92,6,2963,7.99,9.78,2.7,7,VB|NN,1,0,7,2,2
explosion,15,,15,5867,8.68,16.49,2.93,9,NN,0,0,8,3,3
extinct,13,,1,1752,7.47,2.51,2.11,7,JJ,0,1,8,2,1
extrovert,,,1,50,3.91,0.1,0.78,9,NN,0,0,9,3,2
exultation,,,3,45,3.81,0.12,0.85,10,NN,1,0,9,4,2
eye,13,6.28,122,41052,10.62,111.78,3.76,3,NN|VB,10,15,1,1,1
eyebrows,16,,9,1168,7.06,3.29,2.23,8,NN,0,0,5,2,3
eyeliner,,,,153,5.03,1.02,1.72,8,NN,0,0,5,3,3
eyes,15,,401,58027,10.97,221.55,4.05,4,NN|VB,10,24,2,1,2
face,20,5.68,371,77706,11.26,289.16,4.17,4,NN|VB,12,28,3,1,1
facet,,,2,791,6.67,0.25,1.15,5,NN,4,4,5,2,1
fad,16,3.37,2,1098,7,0.76,1.6,3,NN,17,26,3,1,1
fail,21,3.23,37,18678,9.84,24.59,3.1,4,VB,17,55,3,1,1
failure,21,2.56,89,23998,10.09,20.02,3.01,7,NN,0,0,5,2,2
faint,18,4.46,25,2513,7.83,9.27,2.68,5,JJ|NN|VB,6,10,4,1,1
fair,25,4.09,77,45321,10.72,94.75,3.68,4,JJ|NN,7,37,3,1,1
faith,12,2.71,111,29740,10.3,46.33,3.37,5,NN,1,14,3,1,1
fake,19,2.88,10,7853,8.97,36.33,3.27,4,JJ|NN|VB,17,26,3,1,1
fake,,,125,4.83,0.61,1.51,9,VB,0,0,8,3,2,
falcon,,,4,8268,9.02,3.31,2.23,6,NN,0,0,6,2,1
fall,17,3.86,147,46059,10.74,118.51,3.78,4,NN|VB,13,43,3,1,1
fallacy,,,1,1946,7.57,0.39,1.32,7,NN,0,1,6,3,2
false,4,2.17,29,0,0,21.14,3.03,5,JJ,1,4,4,1,1
family,25,5.85,331,88710,11.39,354.25,4.26,6,NN,0,0,6,3,1
fantasy,8,2.03,14,21100,9.96,16.24,2.92,7,NN,0,0,7,3,2
far,12,2.98,427,176812,12.08,220.76,4.05,3,RB|JJ,20,31,3,1,1
farm,12,5.53,125,10864,9.29,30.04,3.19,4,NN|VB,10,6,4,1,1
fashion,15,3.75,69,13373,9.5,18.76,2.98,7,NN|VB,0,6,4,2,1
fast,7,2.93,78,77003,11.25,137.45,3.85,4,RB|JJ,13,21,4,1,1
fat,16,4.8,60,29356,10.29,79.43,3.61,3,JJ|NN,21,33,3,1,1
father,4,5.9,183,38034,10.55,554.49,4.45,6,NN|VB,5,5,4,2,1
faucet,7,6.2,1,439,6.08,1.43,1.87,6,NN,0,1,5,2,1
fawn,6,5.47,1,388,5.96,0.71,1.57,4,NN|VB,7,27,3,1,1
fbi,17,,,9411,9.15,1.86,1.98,3,,1,0,,,
fear,17,3.22,127,34537,10.45,69.08,3.55,4,NN|VB,13,48,3,1,1
feather,14,6.63,6,2364,7.77,6.63,2.53,7,NN,3,11,4,2,1
feel,14,3.16,216,162048,12,627.24,4.5,4,VB|NN,9,45,3,1,1
feeling,18,2.33,172,37377,10.53,168.18,3.93,7,NN|VB,5,22,5,2,2
feet,10,6.28,283,40143,10.6,120.73,3.79,4,NN,9,28,3,1,1
feint,,,2,1260,7.14,0.45,1.38,5,NN,2,10,4,1,1
female,12,6.17,50,43053,10.67,31.61,3.21,6,JJ|NN,0,0,5,2,1
fence,20,5.85,30,5277,8.57,16.06,2.91,5,NN|VB,2,10,4,1,1
few,12,3.02,601,264493,12.49,301.82,4.19,3,JJ|NN|RB,16,17,3,1,1
fiance,,,1,1730,7.46,3.94,2.31,6,NN,1,0,6,3,1
fiction,16,3,46,19200,9.86,6.08,2.49,7,NN,2,2,5,2,2
field,34,6.67,274,79920,11.29,70.2,3.55,5,NN|VB,3,27,4,1,1
fifty,,,68,4889,8.49,18.82,2.98,5,minor|NN,2,2,5,2,2
fight,24,4.16,98,40281,10.6,201.08,4.01,5,NN|VB,9,37,3,1,1
fighter,13,5.67,9,13334,9.5,12.78,2.81,7,NN,2,23,4,2,2
file,16,4.63,81,311710,12.65,44.04,3.35,4,NN|VB,16,36,3,1,1
fill,18,3.63,50,26443,10.18,43.94,3.35,4,VB|NN,16,43,3,1,1
film,12,5.91,96,52691,10.87,65.25,3.52,4,NN|VB,3,9,4,1,1
finalize,,,,289,5.67,0.51,1.43,8,VB,0,0,6,3,2
financial,13,3.15,86,38129,10.55,15.24,2.89,9,JJ,0,0,7,3,2
finch,,,,1265,7.14,4.02,2.31,5,NN,5,9,4,1,1
find,11,5.86,399,378725,12.84,830.96,4.63,4,VB|NN,15,26,4,1,1
finger,12,6.2,40,37566,10.53,36.67,3.27,6,NN|VB,8,1,5,2,1
finish,8,2.78,39,18398,9.82,98.92,3.7,6,VB|NN,0,2,5,2,1
finished,9,,87,23192,10.05,83.71,3.63,8,VB,2,2,6,2,2
fire,18,6.13,187,62707,11.05,215.49,4.04,4,NN|VB,18,28,3,1,1
first,11,3.07,1360,518924,13.16,840.57,4.63,5,JJ|RB|NN,0,17,4,1,1
fish,24,5.84,35,30614,10.33,83.49,3.63,4,NN|VB,5,17,3,1,1
fishing,15,5.05,32,9675,9.18,23.61,3.08,7,NN|VB,2,7,5,2,2
fist,8,6.4,26,6036,8.71,7.35,2.58,4,NN,10,21,4,1,1
fitting,,,17,3772,8.24,5.59,2.46,7,JJ|VB|NN,5,20,5,2,2
five,14,3.53,286,62706,11.05,285.45,4.16,4,minor|NN,13,13,3,1,1
fix,9,3.1,14,35995,10.49,86.78,3.65,3,VB|NN,12,31,4,1,1
flag,12,6.2,16,15311,9.64,17.49,2.95,4,NN|VB,9,7,4,1,1
flakes,6,,4,991,6.9,1.86,1.98,6,NN|VB,5,12,5,1,2
flame,14,5.81,17,34637,10.45,9.04,2.66,5,NN|VB,5,9,4,1,1
flamingo,,,,580,6.36,1.18,1.79,8,NN,0,0,8,3,1
flash,11,4.82,21,17727,9.78,15.35,2.89,5,NN|VB,6,11,4,1,1
flasher,,,,292,5.68,0.33,1.26,7,NN,2,5,5,2,2
flea,11,6.12,2,3443,8.14,3.31,2.23,4,NN,6,20,3,1,1
flicker,,,2,1600,7.38,0.69,1.56,7,NN|VB,2,5,5,2,1
flirt,,,1,467,6.15,3.92,2.3,5,VB|NN,1,8,4,1,1
float,17,4.41,3,5604,8.63,7.47,2.58,5,VB|NN,3,13,4,1,1
floor,12,5.47,158,35635,10.48,100.63,3.71,5,NN|VB,3,7,4,1,1
floorshow,,,1,19,2.94,0.22,1.08,9,,0,0,6,2,
flop,,,1,1545,7.34,2.31,2.08,4,NN|VB,10,8,4,1,1
florida,16,6.1,20,26340,10.18,18.39,2.97,7,NN,0,0,7,3,1
flower,21,5.62,23,6288,8.75,22.76,3.07,6,NN|VB,4,6,4,1,1
flowers,20,,57,8110,9,47.59,3.39,7,NN|VB,3,8,5,1,2
flute,19,5.66,1,3491,8.16,2.12,2.04,5,NN,2,12,4,1,1
fly,19,5.14,33,29393,10.29,85,3.64,3,VB|NN,7,15,3,1,1
fog,25,5.44,25,4787,8.47,9.45,2.68,3,NN|VB,18,15,3,1,1
fold,19,,7,4906,8.5,8.63,2.64,4,NN|VB,12,35,4,1,1
folder,13,,1,15935,9.68,1.63,1.92,6,NN,8,9,5,2,2
follow,11,3.11,97,58490,10.98,123.2,3.8,6,VB,3,8,4,2,1
follower,11,,3,1368,7.22,0.67,1.54,8,NN,2,3,5,2,2
food,18,5.84,147,59724,11,154.43,3.9,4,NN,10,24,3,1,1
foot,9,3.46,70,24212,10.09,64.92,3.52,4,NN|VB,12,12,3,1,1
football,23,5.75,36,17788,9.79,37.53,3.28,8,NN,1,1,6,2,2
for,13,2.36,9489,4958036,15.42,6895.1,5.55,3,minor,15,40,3,1,1
force,17,2.92,230,75365,11.23,70.67,3.56,5,NN|VB,3,21,4,1,1
forceful,23,,8,675,6.51,0.86,1.65,8,JJ,0,1,7,2,2
foreign,20,,158,42189,10.65,22.29,3.06,7,JJ,0,5,5,2,1
foresight,16,2.28,5,661,6.49,0.75,1.59,9,NN,0,2,6,2,2
forest,9,6.37,66,17098,9.75,18.88,2.98,6,NN,1,1,6,2,1
forever,14,1.95,39,20701,9.94,88.8,3.66,7,RB|NN,0,0,5,3,2
forgive,8,2.36,24,8912,9.1,76.8,3.59,7,VB,1,1,5,2,1
fork,8,5.25,14,11253,9.33,8.82,2.65,4,NN,9,13,4,1,1
formal,17,,48,12504,9.43,8.31,2.63,6,JJ|NN,2,5,5,2,1
fortune,14,3.32,25,15978,9.68,29.76,3.18,7,NN,0,2,6,2,1
forward,13,,115,58128,10.97,72.33,3.57,7,RB|JJ|VB|NN,0,1,6,2,2
found,5,,536,199981,12.21,396,4.31,5,VB|NN,8,23,4,1,1
four,15,3.57,359,85200,11.35,255.78,4.12,4,minor|NN,9,40,3,1,1
fox,18,7,13,13959,9.54,21.61,3.04,3,NN|VB,12,32,4,1,1
fragile,11,3.08,10,2339,7.76,5.14,2.42,7,JJ,0,0,6,2,1
frame,7,6,74,31447,10.36,14.1,2.86,5,NN|VB,1,10,4,1,1
france,12,,74,27961,10.24,27.06,3.14,6,NN,6,5,5,1,1
frankenstein,13,,0,,,,,12,N,,,,,
fraternity,15,4.2,6,1783,7.49,3.35,2.24,10,NN,0,0,9,4,2
freedom,24,1.98,128,44824,10.71,33.1,3.23,7,NN,0,0,6,2,2
freestyle,,,,1175,7.07,1.1,1.76,9,JJ,0,0,7,2,2
freeway,13,,5,2422,7.79,5.53,2.45,7,NN,0,0,5,2,2
freezer,10,,1,1554,7.35,5.16,2.42,7,NN,1,0,5,2,2
fridge,,,,1599,7.38,9.84,2.7,6,NN,2,4,4,1,1
friend,22,4.4,133,81053,11.3,419.29,4.33,6,NN,0,4,5,1,1
fries,9,6.25,,1684,7.43,11.69,2.78,5,NN|VB,8,19,4,1,2
fright,8,2.63,2,602,6.4,2.76,2.15,6,NN,4,12,4,1,1
frightened,6,,26,2547,7.84,23.25,3.07,10,VB|JJ,1,2,6,2,3
frog,20,6.96,1,3126,8.05,11.82,2.78,4,NN,3,5,4,1,1
front,5,4.14,221,77889,11.26,181.55,3.97,5,NN|JJ|VB,2,2,5,1,1
frown,11,4.5,1,804,6.69,2.04,2.02,5,VB,5,6,4,1,1
fruit,17,6,35,10728,9.28,21.73,3.04,5,NN,0,6,4,1,1
fry,18,3.98,,4052,8.31,8.39,2.63,3,VB|NN,11,11,3,1,1
fudge,11,,,1417,7.26,3.63,2.27,5,VB|NN,3,8,3,1,1
full,11,3.74,230,155605,11.96,166.9,3.93,4,JJ|RB,14,20,3,1,1
fun,15,2.45,44,75696,11.23,235.49,4.08,3,NN|JJ,15,34,3,1,1
fungus,16,6.1,2,885,6.79,2.2,2.05,6,NN|JJ,1,2,6,2,2
funny,17,3.23,41,36714,10.51,218.18,4.05,5,JJ,7,19,4,2,2
fur,13,6.69,13,4642,8.44,8.27,2.63,3,NN,10,24,2,1,1
furnish,,,29,1095,7,0.94,1.69,7,VB,2,4,5,2,1
furniture,12,6.83,39,4701,8.46,15.08,2.89,9,NN,0,0,6,3,1
fury,12,2.65,19,3864,8.26,3.82,2.29,4,NN,5,2,5,2,1
future,9,2.35,227,90741,11.42,103.49,3.72,6,NN|JJ,1,0,5,2,1
gain,10,3.21,74,23905,10.08,13.73,2.85,4,VB|NN,11,50,3,1,1
gamble,12,3.3,3,1968,7.58,8.94,2.66,6,VB,3,3,5,2,1
game,13,4.72,123,197271,12.19,233.84,4.08,4,NN|VB,16,23,3,1,1
gander,9,,1,441,6.09,1.08,1.75,6,NN,8,12,5,2,1
garage,12,,21,5868,8.68,27.22,3.14,6,NN|VB,0,1,5,2,1
garbage,14,5.68,7,12598,9.44,26.1,3.12,7,NN,0,1,6,2,1
garden,14,5.92,60,11220,9.33,26.55,3.13,6,NN|VB,2,6,5,2,1
garlic,19,6.23,4,4140,8.33,6,2.49,6,NN|JJ,2,0,6,2,1
gas,10,5.34,98,25773,10.16,67.78,3.54,3,NN,18,20,3,1,1
gate,12,5.69,37,16638,9.72,32.04,3.21,4,NN|VB,20,39,3,1,1
gather,20,,20,7255,8.89,15.67,2.9,6,VB,4,5,4,2,1
geek,,,,,,,,4,,,,,,
general,21,4.04,497,148204,11.91,115.39,3.77,7,JJ|NN,0,0,6,2,2
genuine,15,2.87,34,7191,8.88,8.2,2.62,7,JJ,0,0,7,3,1
geometry,11,3.33,9,5788,8.66,1.84,1.98,8,NN,0,0,8,4,3
george,14,,129,46181,10.74,146.55,3.87,6,NN,1,2,4,1,1
get,23,2.86,750,978898,13.79,4583.76,5.37,3,VB,19,27,3,1,1
ghetto,20,,11,1154,7.05,5.53,2.45,6,NN,0,1,4,2,1
ghost,24,4.25,11,10849,9.29,36.59,3.27,5,NN,0,14,4,1,1
gift,16,5.28,33,11722,9.37,64.51,3.52,4,NN,7,11,4,1,1
gin,11,6.35,23,1092,7,11.27,2.76,3,NN,16,37,3,1,1
giraffe,8,,,379,5.94,1.49,1.89,7,NN,0,0,5,2,1
girl,8,6.83,220,40340,10.61,557.12,4.45,4,NN,4,24,3,1,1
girlfriend,13,,,7675,8.95,76.1,3.59,10,NN,0,0,8,2,2
girls,10,,142,26581,10.19,208.35,4.03,5,NN,2,19,4,1,2
give,13,3.18,391,230878,12.35,1167.82,4.78,4,VB,10,11,3,1,1
glad,7,3.14,38,25586,10.15,171.37,3.94,4,JJ,3,8,4,1,1
glass,21,6.31,99,20768,9.94,60.71,3.49,5,NN,3,5,4,1,1
glasses,16,6.02,29,8546,9.05,33.12,3.23,7,NN,3,3,6,2,2
glory,19,3.53,21,9891,9.2,21.49,3.04,5,NN,1,0,5,2,1
glove,9,6.14,9,2355,7.76,10.1,2.71,5,NN|VB,3,2,4,1,1
gloves,19,6.14,7,3969,8.29,16.24,2.92,6,NN|VB,5,2,5,1,2
glow,18,,16,2584,7.86,5.75,2.47,4,NN|VB,5,9,3,1,1
glue,8,5.73,8,5283,8.57,5.88,2.48,4,NN|VB,6,11,3,1,1
go,14,3.33,626,409671,12.92,3793.04,5.29,2,VB|NN,17,48,2,1,1
goal,21,3.4,60,26030,10.17,16.75,2.93,4,NN,5,47,3,1,1
goat,16,6.22,6,2562,7.85,10.53,2.73,4,NN,9,28,3,1,1
goblet,,,,103,4.63,0.37,1.3,6,NN,2,0,6,2,1
god,23,3.61,318,129944,11.77,903.16,4.66,3,NN|minor,17,27,3,1,1
gold,16,5.68,52,53067,10.88,78.94,3.61,4,NN|JJ,14,29,4,1,1
goldfish,,,1,1107,7.01,3.04,2.19,8,NN,0,0,7,2,2
gone,20,3.02,195,51800,10.86,296.76,4.18,4,VB,13,28,3,1,1
goo,18,,,1373,7.22,2.14,2.04,3,NN,15,50,2,1,1
good,8,2.53,807,628816,13.35,2610.14,5.12,4,JJ|NN|RB,10,13,3,1,1
goose,11,6.63,4,1790,7.49,13.04,2.82,5,NN,4,17,3,1,1
gopher,,,,43351,10.68,1.41,1.86,6,NN|VB,0,2,4,2,1
gorilla,14,6.16,,1346,7.2,5.55,2.45,7,NN,0,0,6,3,1
government,19,4.63,417,172375,12.06,65.24,3.52,10,NN,0,0,8,3,2
gown,11,5.82,16,1301,7.17,6.55,2.52,4,NN,7,14,3,1,1
grab,18,,16,10230,9.23,70.86,3.56,4,VB|NN,9,11,4,1,1
graduation,27,4.28,11,2626,7.87,9.8,2.7,10,NN,0,0,8,4,3
grand,17,,48,22146,10.01,63.02,3.51,5,JJ|NN,5,11,5,1,1
grandma,10,,13,1280,7.15,45.59,3.37,7,NN,1,0,6,2,2
grape,17,5.85,3,1637,7.4,4,2.31,5,NN,10,22,4,1,1
grapefruit,,,3,346,5.85,2.47,2.1,10,NN,0,0,8,2,2
graph,11,,17,4545,8.42,0.75,1.59,5,NN,1,7,4,1,1
grasp,13,,17,5765,8.66,4.57,2.37,5,VB|NN,1,2,5,1,1
grass,14,5.93,53,7354,8.9,16.78,2.93,5,NN|VB,9,14,4,1,1
grasshopper,14,6.56,,400,5.99,0.92,1.68,11,NN,0,0,8,3,3
grater,,,,129,4.86,0.14,0.9,6,NN,7,8,5,2,2
gratuity,,,,130,4.87,0.31,1.23,8,NN,0,0,8,3,2
grave,22,5.27,33,7527,8.93,26.27,3.13,5,JJ|NN|VB,9,19,4,1,1
grease,13,6.03,9,2965,7.99,6.94,2.55,6,NN|VB,3,16,4,1,1
great,18,3.03,665,260267,12.47,820.86,4.62,5,JJ|NN|RB,4,24,4,1,1
greed,13,1.73,3,4307,8.37,4.8,2.39,5,NN,8,19,4,1,1
green,17,5.46,116,90773,11.42,72.47,3.57,5,JJ|NN|VB,5,19,4,1,1
greet,13,,7,921,6.83,5.25,2.43,5,VB|NN,6,16,4,1,1
grenade,,,3,2933,7.98,4.61,2.37,7,NN,1,0,6,2,1
grill,10,,12,1495,7.31,4.45,2.36,5,NN|VB,4,16,4,1,1
grin,,,13,8803,9.08,2.71,2.14,4,NN|VB,9,18,4,1,1
groceries,11,6.67,2,806,6.69,5.9,2.48,9,NN,0,0,7,3,3
gross,16,2.73,66,8314,9.03,15.27,2.89,5,JJ|VB|NN,6,13,4,1,1
ground,14,5.44,186,48767,10.79,72.47,3.57,6,NN|VB,1,12,5,1,1
groundhog,,,,381,5.94,1.49,1.89,9,NN,0,0,8,2,2
group,23,4.41,390,284243,12.56,73.76,3.58,5,NN|VB,2,13,4,1,1
grow,24,4.05,63,24803,10.12,59.49,3.48,4,VB|NN,8,10,3,1,1
growl,,,4,616,6.42,0.98,1.71,5,NN|VB,3,6,4,1,1
grown,16,3.96,43,10655,9.27,25,3.11,5,VB|JJ,8,19,4,1,2
growth,23,,155,36594,10.51,6.45,2.52,6,NN,0,10,4,1,2
guard,18,5.05,48,16067,9.68,58.2,3.47,5,NN|VB,0,18,4,1,1
guess,20,3.27,56,98363,11.5,453.98,4.36,5,VB|NN,1,20,3,1,1
guilt,19,2.92,33,5016,8.52,14.9,2.88,5,NN,4,16,4,1,1
guilty,18,2.49,29,12515,9.43,62.29,3.5,6,JJ|NN,0,0,5,2,2
guitar,16,6.73,19,24781,10.12,15.59,2.9,6,NN,0,1,5,2,1
gum,9,6.05,14,2607,7.87,13.39,2.84,3,NN,13,17,3,1,1
gun,18,6.08,118,47274,10.76,213.2,4.04,3,NN|VB,17,28,3,1,1
guppy,,,,87,4.47,0.35,1.28,5,NN,1,6,4,2,1
habit,17,3.45,23,6475,8.78,14.47,2.87,5,NN,2,4,5,2,1
hair,19,5.7,148,42603,10.66,153.55,3.89,4,NN,5,38,3,1,1
hall,19,6.72,152,33443,10.42,51.94,3.42,4,NN,19,42,3,1,1
halloween,17,4.12,1,1826,7.51,13.04,2.82,9,NN,0,0,6,3,2
hallway,20,5.54,7,2200,7.7,9.55,2.69,7,NN,1,1,5,2,2
halt,2,3.41,10,4028,8.3,11.27,2.76,4,NN|VB,13,14,4,1,1
hamburger,13,,6,1260,7.14,7.78,2.6,9,NN,0,0,7,3,3
hammer,7,5.77,9,6714,8.81,12.47,2.8,6,NN|VB,3,9,4,2,1
hamster,,,,923,6.83,2.14,2.04,7,NN,0,0,6,2,1
hand,16,5.6,431,124848,11.73,279.65,4.15,4,NN|VB,11,17,4,1,1
handlebars,,,1,370,5.91,0.51,1.43,10,NN,0,0,9,3,3
handrail,,,,61,4.11,0.12,0.85,8,NN,0,0,7,2,2
hands,9,6.03,289,58004,10.97,236.53,4.08,5,NN|VB,11,7,5,1,2
handsome,13,,40,2536,7.84,33.02,3.23,8,JJ,0,2,5,2,1
handsomely,,,1,241,5.48,0.73,1.58,10,RB,0,0,7,3,2
happy,8,3.51,98,70881,11.17,333.2,4.23,5,JJ,6,9,4,2,1
harbor,9,,37,4001,8.29,11.02,2.75,6,NN|VB,0,5,5,2,1
hard,10,4.21,202,176370,12.08,307.84,4.2,4,JJ|RB,15,27,4,1,1
hare,6,6.03,1,1946,7.57,3.82,2.29,4,NN,23,38,3,1,1
harmonica,,,,670,6.51,1.75,1.95,9,NN,1,1,9,4,1
harp,17,6.94,1,1667,7.42,2.63,2.13,4,NN|VB,9,11,4,1,1
harp,,,1,1667,7.42,2.63,2.13,4,NN|VB,9,11,4,1,1
harpoon,,,,1157,7.05,0.86,1.65,7,NN|VB,0,0,6,2,1
harpsichord,,,1,701,6.55,0.22,1.08,11,NN,0,0,10,3,1
harvest,21,,12,2648,7.88,3.82,2.29,7,NN|VB,1,3,7,2,1
hat,12,5.97,56,11748,9.37,64.18,3.52,3,NN,26,42,3,1,1
hatchet,13,6.03,4,506,6.23,1.96,2,7,NN,4,4,5,2,1
hate,12,3.86,42,44130,10.69,214.59,4.04,4,VB|NN,20,34,3,1,1
have,15,2.44,3941,3003873,14.92,6161.41,5.5,4,VB|NN,18,22,3,1,1
hawk,8,6.1,14,3597,8.19,12.75,2.81,4,NN|VB,5,25,3,1,1
hay,18,6.39,19,12769,9.45,6.37,2.51,3,NN,24,51,2,1,1
head,15,5.98,424,109089,11.6,371.51,4.28,4,NN|VB,13,39,3,1,1
headache,13,2.26,5,2655,7.88,14.1,2.86,8,NN,1,0,5,2,2
health,21,3.54,105,60950,11.02,40.27,3.31,6,NN,2,7,4,1,1
healthy,19,3.33,33,13347,9.5,24.75,3.1,7,JJ,1,1,5,2,2
hear,11,3.9,153,90309,11.41,555.35,4.45,4,VB|NN,19,43,3,1,1
heart,16,6.02,173,45783,10.73,244.18,4.1,5,NN|VB,4,17,4,1,1
heartbroken,,,,175,5.16,1.82,1.97,11,JJ,0,0,10,3,3
heat,16,4.84,97,28372,10.25,40.08,3.31,4,NN|VB,11,33,3,1,1
heave,,,2,298,5.7,3.65,2.27,5,NN|VB,6,22,3,1,1
heaven,9,2.75,43,16257,9.7,56.61,3.46,6,NN,3,5,4,2,1
heavy,16,4.09,110,32826,10.4,47.29,3.38,5,JJ|NN|RB,2,9,4,2,1
held,,,264,58944,10.98,42.45,3.34,4,VB,12,26,4,1,1
helicopter,15,,1,3201,8.07,15.8,2.91,10,NN,0,0,9,4,1
hell,13,3.62,95,62006,11.03,470.82,4.38,4,NN|minor,17,46,3,1,1
hello,7,,10,41649,10.64,585.43,4.48,5,minor|NN,3,6,4,2,1
helmet,11,5.98,1,5751,8.66,9.47,2.68,6,NN,2,2,6,2,1
help,23,2.82,311,335483,12.72,921.12,4.67,4,VB|NN,7,9,4,1,1
helper,17,4.82,6,2029,7.62,2.02,2.02,6,NN,1,2,5,2,2
hemp,,,,6011,8.7,0.33,1.26,4,NN,5,6,4,1,1
her,8,,3037,594844,13.3,2835.82,5.16,3,minor,16,29,2,1,1
here,4,2.81,750,477382,13.08,4525.25,5.36,4,RB|NN,12,43,3,1,1
hiccup,,,,213,5.36,0.53,1.45,6,NN|VB,0,2,5,2,1
hidden,28,,20,18294,9.81,21.27,3.04,6,VB|JJ,3,5,4,2,2
high,11,3.62,497,185510,12.13,195,4,4,JJ|RB|NN,3,45,2,1,1
higher,,,160,61080,11.02,27.84,3.15,6,JJ,1,19,3,1,2
highway,14,5.95,40,11286,9.33,17.86,2.96,7,NN,0,1,4,2,2
hill,14,6.02,72,31346,10.35,37.55,3.28,4,NN,16,49,3,1,1
him,4,3.6,2619,368957,12.82,3484.51,5.25,3,minor,16,25,3,1,1
hint,10,3.35,9,10531,9.26,9.2,2.67,4,NN|VB,10,11,4,1,1
hip,18,6.08,10,6836,8.83,15.41,2.9,3,NN,20,30,3,1,1
hit,18,4.39,115,64135,11.07,275,4.15,3,VB,19,37,3,1,1
hitchhike,19,4.51,,60,4.09,0.94,1.69,9,VB,0,0,6,2,2
hitchhike,14,4.14,49,23593,10.07,135.37,3.84,4,NN|VB,19,50,3,1,1
hitchhike,8,6.58,10,6586,8.79,11.82,2.78,5,NN|VB,1,16,3,1,1
hitchhike,25,3.93,61,45977,10.74,33.37,3.23,6,NN|VB,2,2,5,2,1
hitchhike,18,2.25,134,49725,10.81,223.55,4.06,7,NN|VB,1,4,5,2,1
hitchhike,12,4.28,100,33093,10.41,215.86,4.04,4,NN|VB,9,17,3,1,1
hitchhike,4.14,49,23593,10.07,135.37,3.84,4,NN|VB,19,50,3,1,1,
hitchhike,6.58,10,6586,8.79,11.82,2.78,5,NN|VB,1,16,3,1,1,
hoe,13,5.25,,1022,6.93,0.92,1.68,3,NN|VB,22,59,2,1,1
hog,9,5.77,3,2408,7.79,5.12,2.42,3,NN,20,13,3,1,1
hold,17,4.08,169,71050,11.17,436.73,4.35,4,VB|NN,14,35,4,1,1
hole,24,4.81,58,25790,10.16,58.22,3.47,4,NN|VB,18,51,3,1,1
holiday,11,3.6,17,7391,8.91,21.29,3.04,7,NN|VB,0,2,6,3,2
holy,15,2.32,49,27262,10.21,68.14,3.54,4,JJ|NN,3,18,4,2,1
home,15,6.25,547,190434,12.16,774.33,4.6,4,NN|VB|RB,13,25,3,1,1
homeless,18,,,3065,8.03,10.65,2.74,8,JJ|NN,1,1,6,2,2
homework,20,,,3469,8.15,20.14,3.01,8,NN,0,0,6,2,2
honest,18,2.74,47,22071,10,72.33,3.57,6,JJ|minor,0,0,5,2,1
honesty,16,2.69,10,5354,8.59,7.22,2.57,7,NN,0,0,6,3,2
honeydew,,,,82,4.41,0.27,1.18,8,NN,0,0,6,3,2
honor,25,1.75,66,11938,9.39,96.31,3.69,5,NN|VB,1,7,3,2,1
hook,17,5.13,5,11610,9.36,38,3.29,4,NN|VB,14,22,3,1,1
hoop,11,6.1,3,1279,7.15,2.69,2.14,4,NN,8,26,3,1,1
hop,6,4.41,2,4485,8.41,19.16,2.99,3,NN|VB,21,26,3,1,1
horn,15,5.91,31,9173,9.12,21.08,3.03,4,NN,9,22,4,1,1
hornet,8,6.37,,3738,8.23,1.33,1.84,6,NN,2,0,6,2,1
horse,16,6.03,117,23855,10.08,92.88,3.68,5,NN|VB,10,16,4,1,1
hose,13,6.39,9,3874,8.26,8.06,2.61,4,NN,15,53,3,1,1
hospital,17,6.8,110,19468,9.88,124.2,3.8,8,NN,0,0,7,3,2
hostess,17,,8,643,6.47,3.71,2.28,7,NN,1,1,6,2,2
hot,8,5.03,130,51546,10.85,189.84,3.99,3,JJ|VB,23,38,3,1,1
hotel,16,6.8,126,20364,9.92,103.22,3.72,5,NN,3,2,5,2,1
hound,5,6.83,7,2575,7.85,5.04,2.41,5,NN|VB,7,15,4,1,1
hours,15,2.93,175,77067,11.25,214.88,4.04,5,NN,7,8,3,1,2
house,13,6.21,591,104153,11.55,514,4.42,5,NN,7,20,3,1,1
housefly,,,,15,2.71,0.18,1,8,NN,1,0,6,2,2
hug,13,5.34,3,3801,8.24,19.33,2.99,3,NN|VB,20,27,3,1,1
hula,7,,,247,5.51,1.96,2,4,NN,2,1,4,2,1
human,16,6.37,299,180168,12.1,124.76,3.8,5,JJ|NN,0,3,6,2,1
hundred,11,4.19,171,18969,9.85,78.73,3.6,7,minor|NN,0,0,7,2,1
hunger,15,4.16,17,3114,8.04,5.88,2.48,6,NN|VB,4,3,5,2,1
hungry,12,4.24,23,6300,8.75,77.08,3.59,6,JJ,0,0,6,2,1
