effect,N,omnibus,onetotwo,twotothree
Large,10,59,71.2,68.2
Large,30,72.2,69.5,69.7
Large,100,69.9,70.1,68
Large,500,65.9,71.4,67.8
Large,1000,100,71,70.5
Medium,10,31.5,85.9,86.4
Medium,30,51.7,66.4,62.8
Medium,100,43.8,66.8,66.1
Medium,500,50.7,68.9,70.3
Medium,1000,56,70.1,71.2
Small,10,71,95.8,94.7
Small,30,44.6,87.5,88.4
Small,100,2.5,67.1,65.7
Small,500,0,62.9,64.1
Small,1000,0,68.5,69
None,10,83.7,96.7,97.5
None,30,73.5,95.2,96
None,100,52.5,89.3,88.6
None,500,0.9,57.6,61.9
None,1000,0,51.1,51.7
