effect,N,omnibus,onetotwo,twotothree
Large,10,60.2,77.2,76.3
Large,30,72.2,70.2,71
Large,100,69.9,70.1,68
Large,500,65.9,71.4,67.8
Large,1000,100,71,70.5
Medium,10,34.9,89.4,88.1
Medium,30,51.9,76.6,73.7
Medium,100,43.8,67.8,68.8
Medium,500,50.7,68.9,70.3
Medium,1000,56,70.1,71.2
Small,10,71.5,97.3,96
Small,30,46.5,92.8,94.1
Small,100,2.5,75.8,75.2
Small,500,0,67.5,68.3
Small,1000,0,68.5,69.1
None,10,83.9,97.7,98.2
None,30,74.5,96.2,97.6
None,100,52.5,92.9,91.8
None,500,0.9,66.1,70.2
None,1000,0,57,56.8
