N,stdev,omniP,overallBF,oompcc,oomchance
10,11.5,0.656689689,0.285958673,0.5,0.898
10,11.5,0.886204818,0.229575302,0.466666667,0.983
10,11.5,0.980176859,0.210405583,0.5,0.804
10,11.5,0.806899221,0.254944141,0.566666667,0.25
10,11.5,0.187371988,1.010074674,0.633333333,0.066
10,11.5,0.656117022,0.301785264,0.533333333,0.572
10,11.5,0.977158353,0.212830009,0.666666667,0.042
10,11.5,0.395878098,0.489793783,0.533333333,0.751
10,11.5,0.63874915,0.300210299,0.5,0.784
10,11.5,0.845672806,0.236847278,0.533333333,0.731
10,11.5,0.2225252,0.74123955,0.633333333,0.123
10,11.5,0.263489294,0.703875778,0.533333333,0.736
10,11.5,0.171135406,0.992139138,0.533333333,0.583
10,11.5,0.810007343,0.252637685,0.533333333,0.736
10,11.5,0.176703609,0.895673364,0.466666667,0.924
10,11.5,0.845915761,0.238060424,0.5,0.936
10,11.5,0.306146334,0.556846584,0.466666667,0.981
10,11.5,0.266255499,0.491255062,0.6,0.186
10,11.5,0.677893721,0.28541905,0.533333333,0.612
10,11.5,0.796235509,0.250138451,0.433333333,0.996
10,11.5,0.901721635,0.224121178,0.533333333,0.731
10,11.5,0.036315767,3.941601129,0.6,0.172
10,11.5,0.010638814,7.811641643,0.6,0.264
10,11.5,0.426831763,0.433770055,0.533333333,0.679
10,11.5,0.655082667,0.294855929,0.5,0.907
10,11.5,0.269101434,0.763599457,0.533333333,0.711
10,11.5,0.863417951,0.237289981,0.5,0.809
10,11.5,0.63814937,0.29131215,0.5,0.736
10,11.5,0.967661967,0.20968694,0.433333333,1
10,11.5,0.297080949,0.615590129,0.633333333,0.083
10,11.5,0.693765775,0.282432212,0.466666667,0.95
10,11.5,0.09650829,1.031775656,0.5,0.871
10,11.5,0.766571173,0.265535379,0.566666667,0.527
10,11.5,0.247042232,0.686985777,0.533333333,0.74
10,11.5,0.91415139,0.228366774,0.566666667,0.484
10,11.5,0.469767311,0.407823001,0.533333333,0.791
10,11.5,0.947859666,0.215037639,0.533333333,0.686
10,11.5,0.880468993,0.231588364,0.466666667,0.979
10,11.5,0.009052607,19.25417558,0.633333333,0.03
10,11.5,0.325912152,0.52166904,0.533333333,0.677
10,11.5,0.51865689,0.388369879,0.533333333,0.71
10,11.5,0.208491328,0.824230918,0.533333333,0.489
10,11.5,0.125946701,1.213443049,0.7,0.009
10,11.5,0.401106191,0.40551724,0.566666667,0.443
10,11.5,0.632680716,0.301688669,0.566666667,0.412
10,11.5,0.437427245,0.409103485,0.566666667,0.347
10,11.5,0.51165671,0.381383122,0.5,0.813
10,11.5,0.222224521,0.793549675,0.533333333,0.701
10,11.5,0.431064455,0.426866252,0.533333333,0.722
10,11.5,0.031988114,5.159281204,0.533333333,0.59
10,11.5,0.213859815,0.851311169,0.566666667,0.469
10,11.5,0.538894657,0.341206198,0.533333333,0.805
10,11.5,0.023407234,5.65663124,0.633333333,0.079
10,11.5,0.398879937,0.415118772,0.5,0.926
10,11.5,0.975444617,0.218579399,0.533333333,0.672
10,11.5,0.193053728,0.838893995,0.633333333,0.115
10,11.5,0.155369788,0.853643402,0.5,0.876
10,11.5,0.667715759,0.298949301,0.633333333,0.104
10,11.5,0.071256846,2.251530737,0.633333333,0.122
10,11.5,0.062512612,2.077916192,0.5,0.859
10,11.5,0.908085947,0.222905877,0.5,0.814
10,11.5,0.28944157,0.567662174,0.533333333,0.607
10,11.5,0.354731463,0.452002809,0.633333333,0.099
10,11.5,0.588861363,0.356247701,0.5,0.86
10,11.5,0.314684743,0.563375154,0.533333333,0.697
10,11.5,0.925131945,0.223394531,0.533333333,0.745
10,11.5,0.189176885,0.729768371,0.566666667,0.42
10,11.5,0.591035172,0.338201735,0.566666667,0.351
10,11.5,0.147250822,0.912906127,0.566666667,0.379
10,11.5,0.541208338,0.346056749,0.566666667,0.522
10,11.5,0.88533599,0.240858366,0.566666667,0.37
10,11.5,0.937185413,0.233337322,0.466666667,0.956
10,11.5,0.018441036,7.585536362,0.6,0.201
10,11.5,0.581715528,0.33288825,0.533333333,0.743
10,11.5,0.162246634,0.997500887,0.533333333,0.75
10,11.5,0.849187104,0.236749353,0.533333333,0.686
10,11.5,0.626432298,0.304471755,0.533333333,0.731
10,11.5,0.96908981,0.235920157,0.533333333,0.67
10,11.5,0.75716973,0.265208783,0.533333333,0.751
10,11.5,0.151799162,1.059995657,0.633333333,0.03
10,11.5,0.403952902,0.456769706,0.533333333,0.693
10,11.5,0.69373724,0.269212113,0.5,0.914
10,11.5,0.361740463,0.502223512,0.533333333,0.714
10,11.5,0.053603588,2.689788025,0.566666667,0.262
10,11.5,0.968031152,0.21660217,0.6,0.257
10,11.5,0.186141619,1.00051248,0.566666667,0.511
10,11.5,0.107027115,1.438927562,0.5,0.82
10,11.5,0.867015568,0.236454408,0.566666667,0.534
10,11.5,0.008579011,20.50002483,0.6,0.237
10,11.5,0.134915163,1.364673875,0.6,0.184
10,11.5,0.594336275,0.350907583,0.5,0.882
10,11.5,0.017804388,5.111562437,0.6,0.217
10,11.5,0.835907108,0.26964871,0.6,0.112
10,11.5,0.772586692,0.262482991,0.466666667,0.991
10,11.5,0.072188333,1.674859939,0.566666667,0.436
10,11.5,0.279004282,0.636007997,0.633333333,0.105
10,11.5,0.677893721,0.285090134,0.533333333,0.645
10,11.5,0.060225912,2.251115193,0.633333333,0.086
10,11.5,0.190658284,0.755571799,0.566666667,0.41
10,11.5,0.739084179,0.27938366,0.466666667,0.978
10,11.5,0.449232374,0.378557813,0.533333333,0.374
10,11.5,0.943274441,0.225672622,0.533333333,0.629
10,11.5,0.879582839,0.232521552,0.5,0.872
10,11.5,0.678239076,0.294302829,0.566666667,0.372
10,11.5,0.344153534,0.466143842,0.6,0.244
10,11.5,0.7321869,0.277010225,0.633333333,0.113
10,11.5,0.04193384,4.041325432,0.566666667,0.278
10,11.5,0.836194629,0.2518973,0.5,0.85
10,11.5,0.329577087,0.548425871,0.566666667,0.537
10,11.5,0.346644599,0.549227007,0.533333333,0.676
10,11.5,0.309696961,0.49111739,0.466666667,0.941
10,11.5,0.03992684,2.6216666,0.5,0.691
10,11.5,0.412807167,0.442855451,0.466666667,0.989
10,11.5,0.669688547,0.298059652,0.566666667,0.51
10,11.5,0.548790378,0.347892055,0.6,0.251
10,11.5,0.69978138,0.283965622,0.533333333,0.73
10,11.5,0.425918645,0.426594849,0.633333333,0.029
10,11.5,0.284387847,0.542134567,0.466666667,0.985
10,11.5,0.993935328,0.208505884,0.533333333,0.768
10,11.5,0.085510345,2.086816049,0.566666667,0.528
10,11.5,1,0.206793986,0.533333333,0.719
10,11.5,0.192972725,0.875298601,0.566666667,0.462
10,11.5,0.207984683,0.876061316,0.533333333,0.774
10,11.5,0.339719896,0.509729598,0.533333333,0.656
10,11.5,0.360268538,0.478696923,0.5,0.919
10,11.5,0.426348131,0.436596817,0.5,0.906
10,11.5,0.406830743,0.402458129,0.5,0.902
10,11.5,0.99304485,0.214087017,0.5,0.928
10,11.5,0.639821023,0.316199335,0.466666667,0.968
10,11.5,0.049223165,3.523789803,0.633333333,0.062
10,11.5,0.674203285,0.290667442,0.633333333,0.106
10,11.5,0.034283269,5.552250063,0.666666667,0.018
10,11.5,0.555761379,0.351212538,0.5,0.756
10,11.5,0.901580349,0.22914792,0.533333333,0.71
10,11.5,0.384774988,0.432468337,0.566666667,0.411
10,11.5,0.387420489,0.466655871,0.533333333,0.683
10,11.5,0.335211984,0.538656463,0.6,0.208
10,11.5,0.27774394,0.6750805,0.5,0.826
10,11.5,0.716504003,0.287195991,0.5,0.86
